H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp
1.49009372829645e-05	112644	1.03957420145458e-05	8.1631443599591e-15	0	0	HGDP1KG	e5	eurasia-lat	pruneall
1.30936677361716e-05	112644	1.02873973010581e-05	8.54259715790878e-15	8.64649607925579e-203	0	HGDP1KG	e5	eurasia-long	pruneall
2.50933735001837e-05	136441	1.09341422717387e-05	2.78837653238663e-14	0	0	HGDP1KG	e5	eur-lat	pruneall
1.42057002616422e-05	136441	1.47343457021948e-05	1.51054258269383e-13	0.913114317524421	0.916	HGDP1KG	e5	eur-long	pruneall
1.93134434361987e-05	139710	7.07843398388682e-06	2.74948679234126e-15	0	0	HGDP1KG	e5	sdi-eur	pruneall
1.38906905413819e-05	109217	1.12165793828967e-05	1.18901843659545e-14	4.13218933049316e-133	0	HGDP1KG	e5	eas-nfe	pruneall
1.16548159659597e-05	109217	1.13704859333211e-05	1.34749114053891e-14	0.00715471493619005	0.008	HGDP1KG	e5	eas-sas	pruneall
1.37588021426329e-05	109217	1.14329095367332e-05	9.07559337055148e-15	5.96325680076618e-132	0	HGDP1KG	e5	eas-afr	pruneall
1.22976080376642e-05	109217	1.12784649591752e-05	1.18560055658226e-14	3.99488278875928e-21	0	HGDP1KG	e5	eas-amr	pruneall
1.66288071243273e-05	109217	1.03190685800394e-05	7.41606592329214e-15	0	0	HGDP1KG	e5	nfe-sas	pruneall
1.79774152301738e-05	109217	1.16490598088799e-05	1.03377218681311e-14	0	0	HGDP1KG	e5	nfe-afr	pruneall
1.34133046144142e-05	109217	1.11113192827125e-05	1.28152467147629e-14	3.16738948106902e-92	0	HGDP1KG	e5	nfe-amr	pruneall
1.5646021728322e-05	109217	1.1592693699958e-05	1.00708255022328e-14	0	0	HGDP1KG	e5	sas-afr	pruneall
1.21439748854366e-05	109217	1.10890193157418e-05	9.66657359660582e-15	3.68161313861194e-27	0	HGDP1KG	e5	sas-amr	pruneall
1.68357227185576e-05	109217	1.15802292770308e-05	9.19677733782292e-15	0	0	HGDP1KG	e5	afr-amr	pruneall
2.21928780054772e-05	112702	1.03886316060202e-05	8.08077550680237e-15	0	0	HGDP1KG	e10	eurasia-lat	pruneall
1.64185910875362e-05	112702	1.02803966464887e-05	7.85542907915302e-15	0	0	HGDP1KG	e10	eurasia-long	pruneall
3.82397510458289e-05	136493	1.09202381440932e-05	3.02507889200313e-14	0	0	HGDP1KG	e10	eur-lat	pruneall
1.83028903215022e-05	136493	1.47379963277544e-05	1.48680705690595e-13	1.17330438826863e-20	0	HGDP1KG	e10	eur-long	pruneall
2.56403540614468e-05	139760	7.07060622862327e-06	2.7832328307545e-15	0	0	HGDP1KG	e10	sdi-eur	pruneall
1.80247459740959e-05	109284	1.11917345643284e-05	1.16078939382571e-14	0	0	HGDP1KG	e10	eas-nfe	pruneall
1.26413708422605e-05	109284	1.13504864747512e-05	1.31319629353284e-14	9.79259036595785e-30	0	HGDP1KG	e10	eas-sas	pruneall
1.73083602676006e-05	109284	1.14150245130333e-05	9.18801350145914e-15	0	0	HGDP1KG	e10	eas-afr	pruneall
1.45940657320299e-05	109284	1.12602245764786e-05	1.21991009559755e-14	1.90394431016816e-200	0	HGDP1KG	e10	eas-amr	pruneall
2.40823824793547e-05	109284	1.02961850342241e-05	7.3511932357309e-15	0	0	HGDP1KG	e10	nfe-sas	pruneall
2.8263445388933e-05	109284	1.16295948264358e-05	1.0545148878196e-14	0	0	HGDP1KG	e10	nfe-afr	pruneall
1.60986836826359e-05	109284	1.10956412636496e-05	1.441894418836e-14	0	0	HGDP1KG	e10	nfe-amr	pruneall
2.12905678111954e-05	109284	1.15701341082375e-05	1.06157974118062e-14	0	0	HGDP1KG	e10	sas-afr	pruneall
1.40925445428018e-05	109284	1.10720452111933e-05	1.02193934699096e-14	1.84391027369013e-196	0	HGDP1KG	e10	sas-amr	pruneall
2.46119349531012e-05	109284	1.15644022084436e-05	9.68009074007524e-15	0	0	HGDP1KG	e10	afr-amr	pruneall
0.000197577451407099	112911	1.03389726346097e-05	7.80454638472554e-15	0	0	HGDP1KG	e50	eurasia-lat	pruneall
0.000129364106419216	112911	1.02146959054547e-05	7.8080988001374e-15	0	0	HGDP1KG	e50	eurasia-long	pruneall
7.59096999001553e-05	136691	1.09632889209355e-05	3.1207723457222e-14	0	0	HGDP1KG	e50	eur-lat	pruneall
5.98405479480974e-05	136691	1.47210587896936e-05	1.51260164297081e-13	0	0	HGDP1KG	e50	eur-long	pruneall
3.85098252198061e-05	139957	7.04947169927908e-06	2.70017667377455e-15	0	0	HGDP1KG	e50	sdi-eur	pruneall
0.0001420699548085	109506	1.11602097784766e-05	1.18570063061885e-14	0	0	HGDP1KG	e50	eas-nfe	pruneall
4.75501753318493e-05	109506	1.13244917911955e-05	1.23108959794039e-14	0	0	HGDP1KG	e50	eas-sas	pruneall
9.68972926205287e-05	109506	1.13575251477371e-05	9.79124549697374e-15	0	0	HGDP1KG	e50	eas-afr	pruneall
6.96351171839104e-05	109506	1.12567691536511e-05	1.17863031812744e-14	0	0	HGDP1KG	e50	eas-amr	pruneall
0.000222674785677957	109506	1.02432997461139e-05	7.35610639105186e-15	0	0	HGDP1KG	e50	nfe-sas	pruneall
0.000249527248925938	109506	1.15386241523914e-05	1.09375108011166e-14	0	0	HGDP1KG	e50	nfe-afr	pruneall
0.000126132873096357	109506	1.10487436660087e-05	1.23760868492493e-14	0	0	HGDP1KG	e50	nfe-amr	pruneall
0.000158753174865627	109506	1.14851320190687e-05	1.05953232642711e-14	0	0	HGDP1KG	e50	sas-afr	pruneall
6.17538229442157e-05	109506	1.10501290383148e-05	9.14178483086844e-15	0	0	HGDP1KG	e50	sas-amr	pruneall
0.000171942944895533	109506	1.14820089391121e-05	1.00410503215591e-14	0	0	HGDP1KG	e50	afr-amr	pruneall
