H	pval	VarFGr	varH	L	dataset	gwas	contrasts	nsnp
1.49009373060334e-05	3.48004198186726e-73	1.67850306599419	1.11275051687342e-13	112644	HGDP1KG	e5	eurasia-lat	pruneall
1.30936678318336e-05	1.69397320274819e-42	1.47492477482898	9.5934007117348e-14	112644	HGDP1KG	e5	eurasia-long	pruneall
2.50933756209335e-05	0	3.42377440746422	2.01230734148588e-13	136441	HGDP1KG	e5	eur-lat	pruneall
1.42056992354418e-05	5.66910423928842e-104	1.93824498613353	1.01152496583271e-13	136441	HGDP1KG	e5	eur-long	pruneall
1.93134435935166e-05	5.35898593589738e-222	2.69828887389534	1.46265839772298e-13	139710	HGDP1KG	e5	sdi-eur	pruneall
1.38906902419452e-05	3.76543838694919e-47	1.51710079647226	1.08495112547352e-13	109217	HGDP1KG	e5	eas-nfe	pruneall
1.16548155821893e-05	7.7000308394721e-17	1.27290506767506	9.16595211325215e-14	109217	HGDP1KG	e5	eas-sas	pruneall
1.37588020209133e-05	1.90613150197557e-48	1.50269634847955	9.96699625613807e-14	109217	HGDP1KG	e5	eas-afr	pruneall
1.22976076728903e-05	4.12930098503319e-24	1.34310895069191	9.75084935819539e-14	109217	HGDP1KG	e5	eas-amr	pruneall
1.66288068038231e-05	6.71184771368284e-93	1.8161499253856	1.34041806623046e-13	109217	HGDP1KG	e5	nfe-sas	pruneall
1.79774155366197e-05	5.45477787906348e-131	1.96344104965795	1.31521273305868e-13	109217	HGDP1KG	e5	nfe-afr	pruneall
1.34133049026177e-05	6.27014154687408e-39	1.46496215786587	1.07273375154575e-13	109217	HGDP1KG	e5	nfe-amr	pruneall
1.56460216608909e-05	1.60315399817896e-82	1.70881298984576	1.14167276710536e-13	109217	HGDP1KG	e5	sas-afr	pruneall
1.21439748380552e-05	9.43837601866179e-23	1.32632961920922	9.39569042079503e-14	109217	HGDP1KG	e5	sas-amr	pruneall
1.68357226903366e-05	5.93697118104872e-105	1.83874867683457	1.24955875770943e-13	109217	HGDP1KG	e5	afr-amr	pruneall
2.21928773047234e-05	2.9857982678434e-184	2.50118447696441	2.12074531996902e-13	112702	HGDP1KG	e10	eurasia-lat	pruneall
1.64185912716619e-05	1.18335411318877e-98	1.85041015900916	1.28515196793802e-13	112702	HGDP1KG	e10	eurasia-long	pruneall
3.82397501379337e-05	0	5.21947217054856	4.45256405966471e-13	136493	HGDP1KG	e10	eur-lat	pruneall
1.83028904353269e-05	8.1899351389966e-156	2.49822310352969	1.70705007895061e-13	136493	HGDP1KG	e10	eur-long	pruneall
2.56403531258189e-05	4.77080605054321e-292	3.58350594757079	2.56428365024971e-13	139760	HGDP1KG	e10	sdi-eur	pruneall
1.80247457660539e-05	4.29145610449901e-111	1.96981798973156	1.57441366090163e-13	109284	HGDP1KG	e10	eas-nfe	pruneall
1.26413707295158e-05	4.31147259457264e-29	1.381500732441	9.83139576357972e-14	109284	HGDP1KG	e10	eas-sas	pruneall
1.73083588267348e-05	2.75572868180533e-102	1.891528292945	1.44762264987138e-13	109284	HGDP1KG	e10	eas-afr	pruneall
1.45940653340424e-05	4.21375930806695e-53	1.59489919089207	1.26691839943962e-13	109284	HGDP1KG	e10	eas-amr	pruneall
2.40823824359947e-05	9.8671458983616e-206	2.63182131796598	2.38358619782572e-13	109284	HGDP1KG	e10	nfe-sas	pruneall
2.82634454233998e-05	6.92098161681333e-282	3.08874499365535	2.84109944989794e-13	109284	HGDP1KG	e10	nfe-afr	pruneall
1.60986836748167e-05	2.38432555180467e-81	1.7593300413354	1.32798153105553e-13	109284	HGDP1KG	e10	nfe-amr	pruneall
2.12905670653457e-05	3.25752384059969e-170	2.32672030780526	1.90902455310985e-13	109284	HGDP1KG	e10	sas-afr	pruneall
1.40925447227877e-05	2.30365159610494e-48	1.54009096585008	1.15113224100638e-13	109284	HGDP1KG	e10	sas-amr	pruneall
2.46119352112267e-05	2.47631493062823e-218	2.68969301261861	2.40651799990819e-13	109284	HGDP1KG	e10	afr-amr	pruneall
0.000197577459988541	0	22.3086940942472	1.10176617247128e-11	112911	HGDP1KG	e50	eurasia-lat	pruneall
0.00012936408764538	0	14.6066452024919	5.95147647415036e-12	112911	HGDP1KG	e50	eurasia-long	pruneall
7.59096957940844e-05	0	10.3762000800942	2.50276935885904e-12	136691	HGDP1KG	e50	eur-lat	pruneall
5.98405425592037e-05	1.06634920638794e-187	8.17968555927318	3.23637941173798e-12	136691	HGDP1KG	e50	eur-long	pruneall
3.8509825520237e-05	3.61901686021337e-285	5.38973503786065	7.56211801239108e-13	139957	HGDP1KG	e50	sdi-eur	pruneall
0.000142069953049083	0	15.5575257838977	7.40806129835108e-12	109506	HGDP1KG	e50	eas-nfe	pruneall
4.75501799817581e-05	4.95898701324332e-252	5.20703452924769	1.28521751064646e-12	109506	HGDP1KG	e50	eas-sas	pruneall
9.68972896138427e-05	0	10.6108438076019	2.78841733505965e-12	109506	HGDP1KG	e50	eas-afr	pruneall
6.96351257226999e-05	1.33656124986335e-306	7.62547069697122	2.61564062347252e-12	109506	HGDP1KG	e50	eas-amr	pruneall
0.000222674804376299	0	24.3842482957094	1.32713828878505e-11	109506	HGDP1KG	e50	nfe-sas	pruneall
0.000249527216811844	0	27.3247511244923	1.40366635995223e-11	109506	HGDP1KG	e50	nfe-afr	pruneall
0.000126132853779924	0	13.8123162763333	5.86963547055309e-12	109506	HGDP1KG	e50	nfe-amr	pruneall
0.000158753167348024	0	17.3844394348397	6.62089664362047e-12	109506	HGDP1KG	e50	sas-afr	pruneall
6.17538309462091e-05	0	6.76242088197345	1.17001534196105e-12	109506	HGDP1KG	e50	sas-amr	pruneall
