H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp
8.33493586914793e-05	145073	6.70463908810791e-06	1.80735358898114e-15	0	0	InUKBB	e5	England-NorthernIreland	pruneall
0.000133509484585383	145073	6.57100397748536e-06	1.73940903801715e-15	0	0	InUKBB	e5	England-RepublicOfIrelend	pruneall
0.000137516533586022	145073	6.57005858485225e-06	1.73026855333206e-15	0	0	InUKBB	e5	England-Scotland	pruneall
6.13146318043296e-05	145073	6.76549322444146e-06	1.95731434795404e-15	0	0	InUKBB	e5	England-Wales	pruneall
3.07921617093812e-05	145073	6.83224143987678e-06	1.89374639855898e-15	0	0	InUKBB	e5	NorthernIreland-RepublicOfIrelend	pruneall
1.35683347470876e-05	145073	6.87882108433684e-06	1.79463841192083e-15	0	0	InUKBB	e5	NorthernIreland-Scotland	pruneall
5.27656927009783e-05	145073	6.76828969472857e-06	1.90367364619769e-15	0	0	InUKBB	e5	NorthernIreland-Wales	pruneall
6.06865111438622e-05	145073	6.73217084055735e-06	1.77677633306493e-15	0	0	InUKBB	e5	RepublicOfIrelend-Scotland	pruneall
9.77501490557568e-05	145073	6.66407804244547e-06	1.8313650888472e-15	0	0	InUKBB	e5	RepublicOfIrelend-Wales	pruneall
6.94556441469023e-05	145073	6.75102538572828e-06	1.88482033778676e-15	0	0	InUKBB	e5	Scotland-Wales	pruneall
8.54575868489757e-05	145126	6.69801278962977e-06	1.74409929922897e-15	0	0	InUKBB	e10	England-NorthernIreland	pruneall
0.000136017301354508	145126	6.56762488065611e-06	1.71582355932421e-15	0	0	InUKBB	e10	England-RepublicOfIrelend	pruneall
0.000139745765058267	145126	6.56873035358732e-06	1.84313546653909e-15	0	0	InUKBB	e10	England-Scotland	pruneall
6.1011622049087e-05	145126	6.76036205726704e-06	1.77634291468842e-15	0	0	InUKBB	e10	England-Wales	pruneall
3.09932696771305e-05	145126	6.83013302236566e-06	1.96996711108198e-15	0	0	InUKBB	e10	NorthernIreland-RepublicOfIrelend	pruneall
1.38916438685738e-05	145126	6.87304187644203e-06	1.88412135660853e-15	0	0	InUKBB	e10	NorthernIreland-Scotland	pruneall
5.34835643339421e-05	145126	6.76421912137117e-06	1.80320996369662e-15	0	0	InUKBB	e10	NorthernIreland-Wales	pruneall
6.17010238674674e-05	145126	6.72867581990251e-06	1.88484228486396e-15	0	0	InUKBB	e10	RepublicOfIrelend-Scotland	pruneall
9.92202026483423e-05	145126	6.65984567265634e-06	1.77480164984171e-15	0	0	InUKBB	e10	RepublicOfIrelend-Wales	pruneall
6.95762424367303e-05	145126	6.74992046681759e-06	1.8339239229888e-15	0	0	InUKBB	e10	Scotland-Wales	pruneall
9.03572961442396e-05	145247	6.69177564447401e-06	1.91411238033758e-15	0	0	InUKBB	e50	England-NorthernIreland	pruneall
0.00014055598405653	145247	6.5636950557481e-06	1.74272669412209e-15	0	0	InUKBB	e50	England-RepublicOfIrelend	pruneall
0.000144260276340289	145247	6.56165842294573e-06	1.6586804099072e-15	0	0	InUKBB	e50	England-Scotland	pruneall
6.35476739133582e-05	145247	6.7531155757352e-06	2.03928704654985e-15	0	0	InUKBB	e50	England-Wales	pruneall
3.08501578567921e-05	145247	6.82135824809223e-06	1.86255627825125e-15	0	0	InUKBB	e50	NorthernIreland-RepublicOfIrelend	pruneall
1.49910304291096e-05	145247	6.86370508258561e-06	1.92292767720318e-15	0	0	InUKBB	e50	NorthernIreland-Scotland	pruneall
5.44059563766046e-05	145247	6.75719293679725e-06	1.97323950639797e-15	0	0	InUKBB	e50	NorthernIreland-Wales	pruneall
6.3216907053119e-05	145247	6.7205891430055e-06	1.79388042206874e-15	0	0	InUKBB	e50	RepublicOfIrelend-Scotland	pruneall
0.000100275439827152	145247	6.65487624477964e-06	1.86993707767297e-15	0	0	InUKBB	e50	RepublicOfIrelend-Wales	pruneall
6.91401551999113e-05	145247	6.7401670359379e-06	1.73265859624462e-15	0	0	InUKBB	e50	Scotland-Wales	pruneall
0.000108785829859181	145217	6.71369579623742e-06	1.3723190766483e-14	0	0	InUKBB	e200	England-NorthernIreland	pruneall
0.000160285859698728	145217	6.60099532424905e-06	1.37765415796744e-14	0	0	InUKBB	e200	England-RepublicOfIrelend	pruneall
0.000158416148405834	145217	6.59368092819483e-06	1.2073819110924e-14	0	0	InUKBB	e200	England-Scotland	pruneall
7.06672544749294e-05	145217	6.78393529293275e-06	1.36197725255002e-14	0	0	InUKBB	e200	England-Wales	pruneall
3.14326260070015e-05	145217	6.84870120967479e-06	1.12015907983299e-14	0	0	InUKBB	e200	NorthernIreland-RepublicOfIrelend	pruneall
2.01690991934224e-05	145217	6.88200904553673e-06	1.35314270356429e-14	0	0	InUKBB	e200	NorthernIreland-Scotland	pruneall
5.86227996786687e-05	145217	6.77672665375611e-06	1.41457965488142e-14	0	0	InUKBB	e200	NorthernIreland-Wales	pruneall
7.24446073170469e-05	145217	6.75295268280472e-06	1.30130884472264e-14	0	0	InUKBB	e200	RepublicOfIrelend-Scotland	pruneall
0.000108006859332121	145217	6.68730004464264e-06	1.28420347276936e-14	0	0	InUKBB	e200	RepublicOfIrelend-Wales	pruneall
6.76139223499428e-05	145217	6.76727182502448e-06	1.18500209545903e-14	0	0	InUKBB	e200	Scotland-Wales	pruneall
0.000111394234252417	145285	6.71116158817859e-06	1.20147374475909e-14	0	0	InUKBB	ALL	England-NorthernIreland	pruneall
0.000163255814838075	145285	6.59342626646366e-06	1.3104800502316e-14	0	0	InUKBB	ALL	England-RepublicOfIrelend	pruneall
0.000161360109162965	145285	6.59047874582929e-06	1.15517231152238e-14	0	0	InUKBB	ALL	England-Scotland	pruneall
7.32329857825103e-05	145285	6.77713185848955e-06	1.11959576949225e-14	0	0	InUKBB	ALL	England-Wales	pruneall
3.35502512117128e-05	145285	6.84722931290778e-06	1.2373530090262e-14	0	0	InUKBB	ALL	NorthernIreland-RepublicOfIrelend	pruneall
2.21894172802789e-05	145285	6.87908260770788e-06	1.36762093693636e-14	0	0	InUKBB	ALL	NorthernIreland-Scotland	pruneall
6.12823668175257e-05	145285	6.76972851615608e-06	1.10507829202303e-14	0	0	InUKBB	ALL	NorthernIreland-Wales	pruneall
7.50965285704528e-05	145285	6.74735964825006e-06	1.34293274749293e-14	0	0	InUKBB	ALL	RepublicOfIrelend-Scotland	pruneall
0.000111037879518339	145285	6.68043661872387e-06	1.19645864276467e-14	0	0	InUKBB	ALL	RepublicOfIrelend-Wales	pruneall
7.05642945861665e-05	145285	6.76068365913702e-06	1.05659662996642e-14	0	0	InUKBB	ALL	Scotland-Wales	pruneall
6.61009594269887e-05	145051	6.7049943052569e-06	1.15017371472634e-15	0	0	InUKBB	WBS	England-NorthernIreland	pruneall
9.61411446839095e-05	145051	6.57571650967868e-06	1.15881857726497e-15	0	0	InUKBB	WBS	England-RepublicOfIrelend	pruneall
0.000114790874192513	145051	6.57467476142517e-06	1.06009087060504e-15	0	0	InUKBB	WBS	England-Scotland	pruneall
6.31112158223294e-05	145051	6.7637474842789e-06	1.20345052864281e-15	0	0	InUKBB	WBS	England-Wales	pruneall
2.34590726481854e-05	145051	6.83633387136355e-06	1.25742086843424e-15	0	0	InUKBB	WBS	NorthernIreland-RepublicOfIrelend	pruneall
1.32261152768764e-05	145051	6.88054209902333e-06	1.15476251742945e-15	0	0	InUKBB	WBS	NorthernIreland-Scotland	pruneall
4.62642300616057e-05	145051	6.76970351115095e-06	1.14819613210707e-15	0	0	InUKBB	WBS	NorthernIreland-Wales	pruneall
4.12659670694289e-05	145051	6.73594990681844e-06	1.16804550378588e-15	0	0	InUKBB	WBS	RepublicOfIrelend-Scotland	pruneall
7.13882021212372e-05	145051	6.66930110190379e-06	1.12019922201163e-15	0	0	InUKBB	WBS	RepublicOfIrelend-Wales	pruneall
6.61838658531177e-05	145051	6.75365991905335e-06	1.09152215973142e-15	0	0	InUKBB	WBS	Scotland-Wales	pruneall
