H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp
1.95691195650736e-05	57027	3.7576845994509e-05	1.34601854141614e-13	1	1	SDS	e5	Han	pruneall
4.44020479811651e-05	59082	2.39866801888973e-05	2.5190907393135e-14	0	0	SDS	e5	UK10K	pruneall
2.07495579455829e-05	57054	3.75507324861346e-05	1.43940245875915e-13	1	1	SDS	e10	Han	pruneall
6.80408475282821e-05	59082	2.39731639854876e-05	2.50815609314087e-14	0	0	SDS	e10	UK10K	pruneall
4.02905550200872e-05	57171	3.75470170642769e-05	1.45974745256091e-13	3.46553593211748e-13	0	SDS	e50	Han	pruneall
0.000137488722702016	59082	2.39705411677378e-05	2.46196450220557e-14	0	0	SDS	e50	UK10K	pruneall
0.000749121729519156	57822	3.73475911133528e-05	1.20392255803331e-12	0	0	SDS	e200	Han	pruneall
0.000348283306927475	59082	2.39809413172374e-05	1.43951296311486e-13	0	0	SDS	e200	UK10K	pruneall
0.000794869651361061	57843	3.73548566370571e-05	1.36054106600308e-12	0	0	SDS	ALL	Han	pruneall
0.000350281086130616	59082	2.39755478460329e-05	1.35043579269476e-13	0	0	SDS	ALL	UK10K	pruneall
1.92985251400664e-05	57023	3.77448480279614e-05	1.30859083906574e-13	1	1	SDS	WBS	Han	pruneall
2.64392801956457e-05	59082	2.39789632045486e-05	1.58293443846704e-14	1.86708755691211e-85	0	SDS	WBS	UK10K	pruneall
