H	pval	VarFGr	varH	dataset	gwas	contrasts	nsnp
1.95691199695398e-05	0.000299579259081365	1.11595979498092	3.51094084914835e-13	SDS	e5	Han	pruneall
4.44020478473304e-05	4.05508977533236e-45	2.62334362230435	3.82642285080452e-12	SDS	e5	UK10K	pruneall
2.07495575954002e-05	1.35070180454129e-06	1.18383634785385	4.71584692619993e-13	SDS	e10	Han	pruneall
6.80408474740361e-05	3.73639817954837e-52	4.01996150922863	1.13821203230036e-11	SDS	e10	UK10K	pruneall
4.02905554711549e-05	1.47946231101497e-28	2.30343409062685	4.2779457162667e-12	SDS	e50	Han	pruneall
0.000137488721596982	1.11022183949046e-56	8.12305239119523	5.80693867515871e-11	SDS	e50	UK10K	pruneall
0.000749121662766343	2.46014235064243e-48	43.3153968167811	2.52575750467618e-09	SDS	e200	Han	pruneall
0.000348283305495728	9.21695670607495e-44	20.5771317433104	5.74604039702019e-10	SDS	e200	UK10K	pruneall
0.000794869638059561	4.88662384538448e-49	45.9769440771666	2.80883090459419e-09	SDS	ALL	Han	pruneall
0.000350281088087978	1.00721415245296e-43	20.6949994890063	5.82091387500387e-10	SDS	ALL	UK10K	pruneall
1.92985249130756e-05	0.000915871975121734	1.10044317940083	3.19612051903985e-13	SDS	WBS	Han	pruneall
2.64392800713252e-05	6.65026968462375e-27	1.56206292687506	7.94226509016815e-13	SDS	WBS	UK10K	pruneall
