H	pval	VarFGr	varH	dataset	gwas	contrasts	nsnp
3.85475534938603e-05	0.0971186968214919	1.04603687197811	1.70990140208139e-12	adnaSel	e5	EuropeanNeolithic	pruneall
4.29257241694298e-05	7.67325674079275e-05	1.16471532104234	2.57266394449835e-12	adnaSel	e5	BronzeAge	pruneall
3.8166695285774e-05	0.161266964439343	1.03772465537145	1.96991380200965e-12	adnaSel	e5	Historical	pruneall
3.90464120177073e-05	0.0516074237263315	1.0599254534752	1.83710382901384e-12	adnaSel	e10	EuropeanNeolithic	pruneall
4.69595937649069e-05	2.66286238804669e-08	1.2745900398675	3.4590101128532e-12	adnaSel	e10	BronzeAge	pruneall
3.85176345951751e-05	0.108662729013937	1.0476131018506	2.01585662495038e-12	adnaSel	e10	Historical	pruneall
3.93435800580207e-05	0.034377743543571	1.06877904006654	1.93672891612471e-12	adnaSel	e50	EuropeanNeolithic	pruneall
5.88154333084533e-05	7.33808031321028e-15	1.59756077513196	8.1843004353665e-12	adnaSel	e50	BronzeAge	pruneall
3.94439368103188e-05	0.0379127995142298	1.07359580806134	2.32107710199037e-12	adnaSel	e50	Historical	pruneall
4.65120383696315e-05	0.0069583946847115	1.2714657955302	1.63071059673389e-11	adnaSel	e200	EuropeanNeolithic	pruneall
8.84173180708712e-05	1.70693705804664e-08	2.41673472217835	8.82116700584391e-11	adnaSel	e200	BronzeAge	pruneall
4.36278854464799e-05	0.0169652383429789	1.19493610385468	1.12642559603183e-11	adnaSel	e200	Historical	pruneall
4.65638355082255e-05	0.00651324655585692	1.27319757044285	1.61957250546158e-11	adnaSel	ALL	EuropeanNeolithic	pruneall
8.92838953366525e-05	1.52179970618487e-08	2.44102671427801	9.05560444723769e-11	adnaSel	ALL	BronzeAge	pruneall
4.3502144130053e-05	0.0186741634672775	1.19178718944796	1.13105670265096e-11	adnaSel	ALL	Historical	pruneall
3.80641627490371e-05	0.171519037102726	1.03268326144045	1.61764039411608e-12	adnaSel	WBS	EuropeanNeolithic	pruneall
3.97262845835636e-05	0.0197976329990422	1.07765755796957	1.93677192052397e-12	adnaSel	WBS	BronzeAge	pruneall
3.79251110322497e-05	0.203257188252404	1.03092081493756	1.88220844633094e-12	adnaSel	WBS	Historical	pruneall
