PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0225120379431152	0.615535138049457	-0.06550770876492	0.11053178465115	0.000506791852352257	0.000506791852352258	0.615535138049457			0.00293977104055743			HGDP1KG	WBS_500	eurasia-lat
2	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0369696041104902	0.409440605351221	-0.124951476759147	0.0510122685381665	0.00136675162808637	0.0018735436347281	0.627499580287918			0.0108679515959662			HGDP1KG	WBS_500	eurasia-lat
3	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.048578650527727	0.278288070109416	-0.136516763620911	0.0393594625654566	0.00235988528709503	0.00423342921076919	0.550627812913656			0.0245570494835397			HGDP1KG	WBS_500	eurasia-lat
4	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0246283563853118	0.582722893114922	-0.0633869973820643	0.112643710152688	0.00060655593824193	0.00483998471791366	0.66146125600315			0.0280755241908926			HGDP1KG	WBS_500	eurasia-lat
5	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0260326786182108	0.561409044330053	-0.0619795422926399	0.114044899529061	0.000677700356039049	0.00551768489740709	0.739753541658198			0.03200669110411			HGDP1KG	WBS_500	eurasia-lat
6	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0381559316976365	0.394565414189327	-0.126133878266818	0.0498220148715451	0.0014558751237147	0.00697356003798771	0.74875600083272			0.0404518536636128			HGDP1KG	WBS_500	eurasia-lat
7	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.00473544672847087	0.915881177487799	-0.0927765186097209	0.0833056251527791	2.24244557181854e-05	0.0069959845560932	0.838220618895565			0.0405819326075008			HGDP1KG	WBS_500	eurasia-lat
8	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0132198783561201	0.768086705940929	-0.0748144869988171	0.101254243711057	0.000174765183750614	0.00717075002830727	0.894874460507818			0.0415957028007657			HGDP1KG	WBS_500	eurasia-lat
9	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.00823289433563834	0.854299440720371	-0.0798061808786563	0.096271969549933	6.77805491417859e-05	0.00723853080746369	0.936539465826394			0.0419888819151213			HGDP1KG	WBS_500	eurasia-lat
10	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.00301234947821536	0.946430648987384	-0.0850293100974898	0.0910540090539206	9.07424937890436e-06	0.00724760501148252	0.96409715759575			0.0420415190719083			HGDP1KG	WBS_500	eurasia-lat
