PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.156868186237697	0.000430376315497316	-0.243820244810979	-0.0699161276644145	0.0246076278535047	0.0246076278535047	0.000430376315497314			0.0329500377582174			InUKBB	WBS-R_500	England-NorthernIreland
2	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0707438997062752	0.114129223048056	-0.158565370382279	0.0170775709697288	0.00500469934565152	0.0296123271034227	0.000570032774119148			0.0396514162996616			InUKBB	WBS-R_500	England-NorthernIreland
3	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.25131917016233	1.21722904329267e-08	-0.336535454987875	-0.166102885336786	0.0631613252910824	0.0927736384432281	1.802284881119e-10			0.12422550064029			InUKBB	WBS-R_500	England-NorthernIreland
4	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0627312038911496	0.161339331354654	-0.0251374526526885	0.150599860434988	0.00393520394163298	0.0967088443527684	2.9119714636929e-10			0.129494809168428			InUKBB	WBS-R_500	England-NorthernIreland
5	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0971188048449442	0.0299053139792316	-0.18474467107422	-0.00949293861566798	0.00943206225451036	0.106140898454639	9.83800738822502e-11			0.142124492153085			InUKBB	WBS-R_500	England-NorthernIreland
6	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.188873009537255	2.12742927897382e-05	-0.275330445377178	-0.102415573697332	0.0356730137316599	0.14181390713686	2.75657276556694e-14			0.189891265530268			InUKBB	WBS-R_500	England-NorthernIreland
7	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.130053260039151	0.00357765553834663	0.0427589413905684	0.217347578687734	0.0169138504468111	0.158727772097494	1.0541152802971e-15			0.21253922218859			InUKBB	WBS-R_500	England-NorthernIreland
8	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0955991545341527	0.0325810157323407	-0.183237973210221	-0.0079603358580848	0.00913919834764481	0.167866968029533	3.24515479835203e-16			0.224776763037028			InUKBB	WBS-R_500	England-NorthernIreland
9	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0891220251000871	0.0463923242846084	0.00143031051352409	0.17681373968665	0.00794273535794055	0.175809707238049	1.33067677212851e-16			0.235412227714173			InUKBB	WBS-R_500	England-NorthernIreland
10	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.00335323788601732	0.940379235450472	-0.0913948019375868	0.0846883261655522	1.12442043202219e-05	0.175820951490484	4.69787485902021e-16			0.235427283961955			InUKBB	WBS-R_500	England-NorthernIreland
11	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0204885696689809	0.647642540992767	-0.108512147550444	0.0675350082124817	0.000419781487080686	0.176240733885515	1.40341829755752e-15			0.235989379822996			InUKBB	WBS-R_500	England-NorthernIreland
12	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0237846656452866	0.595706239305113	-0.064232486715447	0.11180181800602	0.000565710319858077	0.176806445499746	3.84243266905963e-15			0.23674687742334			InUKBB	WBS-R_500	England-NorthernIreland
13	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0325648571811902	0.467506247540479	-0.120560220854768	0.0554305064923881	0.00106046992323131	0.177866918500153	8.84112748728152e-15			0.238166869045978			InUKBB	WBS-R_500	England-NorthernIreland
14	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0681879806539311	0.127837267961163	-0.156025121003393	0.0196491596955311	0.00464960070566088	0.182516520229535	7.61878504326796e-15			0.244392765888042			InUKBB	WBS-R_500	England-NorthernIreland
15	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0983777441435603	0.0278334763295165	-0.185992723856551	-0.0107627644305698	0.00967818054277581	0.19219469629281	1.69544339900713e-15			0.257352010420431			InUKBB	WBS-R_500	England-NorthernIreland
16	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0984492031533713	0.0277196707793658	0.0108348456190449	0.186063560687698	0.00969224560153378	0.201886935940611	3.66231551618703e-16			0.270330086334856			InUKBB	WBS-R_500	England-NorthernIreland
17	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.00738026974069415	0.86924541405988	-0.0806593915068384	0.0954199309882267	5.44683814454057e-05	0.201941404523604	1.02318458705662e-15			0.270403020706139			InUKBB	WBS-R_500	England-NorthernIreland
18	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0866578669978359	0.0528036616846103	-0.00105298936295449	0.174368723358626	0.00750958591261461	0.209450997540029	3.84684916169641e-16			0.280458495167681			InUKBB	WBS-R_500	England-NorthernIreland
19	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0521609327900696	0.244331897965683	-0.035761273882	0.140083139462139	0.00272076290953016	0.212171761176155	5.10007644987154e-16			0.284101644563278			InUKBB	WBS-R_500	England-NorthernIreland
20	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0303104531889406	0.498900111696586	-0.0576911533946766	0.118312059772558	0.00091872357251896	0.213090488063555	1.06894762514809e-15			0.285331835697894			InUKBB	WBS-R_500	England-NorthernIreland
