PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0292749817567729	0.513685316480269	-0.0587293420875947	0.11727930560114	0.000857024556859385	0.000857024556859385	0.513685316480269			0.00497138215937729			HGDP1KG	WBS_500	eurasia-lat
2	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.00546884724337784	0.902913286381038	-0.0935095896742202	0.0825718951874645	2.99082901714014e-05	0.000886932847900624	0.802117148140457			0.00514487257258639			HGDP1KG	WBS_500	eurasia-lat
3	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0240018957032899	0.592350786252072	-0.112018590965416	0.0640147995588358	0.000576090997351606	0.00146302385041557	0.866853967181299			0.00848663041273013			HGDP1KG	WBS_500	eurasia-lat
4	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.058374695372573	0.192526182889464	-0.146266620115325	0.0295172293701791	0.0034076050598407	0.00487062928237584	0.658704317584754			0.0282532855395376			HGDP1KG	WBS_500	eurasia-lat
5	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.00216955296787743	0.961404381092432	-0.0858722988610613	0.0902114047968162	4.70696008042577e-06	0.00487533610896214	0.788249382788141			0.0282805886471687			HGDP1KG	WBS_500	eurasia-lat
6	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0146576502705123	0.743703995480132	-0.102690251023449	0.0733749504824249	0.000214846711452649	0.00509018320738288	0.865540131450667			0.0295268621915311			HGDP1KG	WBS_500	eurasia-lat
7	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0632764907106812	0.157720402621798	-0.151142116533538	0.0245891351121757	0.00400391427665893	0.00909409243443201	0.718602975604097			0.0527525244433353			HGDP1KG	WBS_500	eurasia-lat
8	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.00643097611571161	0.88594066918647	-0.0816092623021808	0.0944712145336041	4.13574538008532e-05	0.00913545002882797	0.806063707047806			0.0529924293623825			HGDP1KG	WBS_500	eurasia-lat
9	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0368965971748197	0.41036676329471	-0.124878707379739	0.0510855130300993	0.00136135888308091	0.0104968082566227	0.815861974592579			0.060889323275179			HGDP1KG	WBS_500	eurasia-lat
10	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.00343006430181225	0.939015882622569	-0.0914716054122716	0.084611476808647	1.17653411145668e-05	0.0105085734723715	0.876855984650522			0.0609575703087173			HGDP1KG	WBS_500	eurasia-lat
11	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0326928020437422	0.465757885888781	-0.120687797973108	0.0553021938856235	0.00106881930547131	0.0115773919253653	0.890450039375182			0.0671575151601204			HGDP1KG	WBS_500	eurasia-lat
12	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0536868087300359	0.230787307691695	-0.0342282781023929	0.141601895562465	0.00288227343161545	0.0144596655416737	0.846462973010622			0.0838768536199993			HGDP1KG	WBS_500	eurasia-lat
13	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.00197075666139658	0.964938515771562	-0.0860711314003724	0.0900126447231656	3.88388181843899e-06	0.0144635495102663	0.893694856457296			0.0838993835370411			HGDP1KG	WBS_500	eurasia-lat
14	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0543003205786184	0.225494214137164	-0.0336118455390769	0.142212486696314	0.00294852481494072	0.0174120749423434	0.854345427723646			0.101003031982325			HGDP1KG	WBS_500	eurasia-lat
15	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0511450383842741	0.253652498343801	-0.036781794380962	0.13907187114951	0.00261581495132887	0.020027890275481	0.824568565033394			0.116176713500904			HGDP1KG	WBS_500	eurasia-lat
16	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0594078046956307	0.18475834255877	-0.0284787541577166	0.147294363548978	0.0035292872587542	0.0235571781629692	0.765678153659777			0.136649217700156			HGDP1KG	WBS_500	eurasia-lat
17	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0645915305773833	0.14924541877491	-0.152449739019463	0.023266677864696	0.00417206582232904	0.027729242175342	0.683729178156849			0.160850303226685			HGDP1KG	WBS_500	eurasia-lat
18	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0168680756407808	0.706720365979854	-0.0711614571120288	0.10489760839359	0.000284531975823104	0.0280137729957369	0.736041977384776			0.162500794374206			HGDP1KG	WBS_500	eurasia-lat
19	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0451903481992308	0.313227425209763	-0.133142462970965	0.0427617665725038	0.00204216757036772	0.0300559424772745	0.728558574826393			0.174346901753141			HGDP1KG	WBS_500	eurasia-lat
20	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0802965597303057	0.0728308466608541	-0.00746121308778012	0.168054332548392	0.00644753750452255	0.0365034846262441	0.57787845912961			0.211747459012178			HGDP1KG	WBS_500	eurasia-lat
21	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.02313961575752	0.605720580045747	-0.0648788694208129	0.111158100935853	0.000535441817405666	0.0370389280523258	0.623772005830507			0.214853430567455			HGDP1KG	WBS_500	eurasia-lat
22	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0483200998032678	0.280857074449106	-0.0396191174561241	0.13625931706266	0.00233483204499777	0.0393737584299565	0.61055817036016			0.228397189601689			HGDP1KG	WBS_500	eurasia-lat
23	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.0392883839126441	0.380674241432183	-0.127262466851797	0.0486856990265085	0.00154357711046731	0.040917338231984	0.622441930768114			0.237351104665099			HGDP1KG	WBS_500	eurasia-lat
24	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0220191450249604	0.623291872586762	-0.0660015681448856	0.110039858194806	0.000484842747630237	0.0414021825053159	0.665332309714144			0.240163563364475			HGDP1KG	WBS_500	eurasia-lat
25	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	-0.021140782829926	0.637218169658821	-0.109163165228038	0.0668815995681864	0.000446932698662095	0.0418491148977463	0.70640287271428			0.24275610485514			HGDP1KG	WBS_500	eurasia-lat
26	2.68326234078403e-05	7.82737309786068e-12	0.17239160647564	0.0143357005984114	0.749142592598513	-0.0736973111076044	0.102368712304427	0.000205512311647292	0.0420546267851226	0.750508229756059			0.243948227207136			HGDP1KG	WBS_500	eurasia-lat
