PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0280177103674868	0.531938425982081	-0.116025206457506	0.0599897857225321	0.000784992094236377	0.000784992094236376	0.531938425982082			0.00105111794192332			InUKBB	WBS-R_500	England-NorthernIreland
2	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.104570925510716	0.0193437163835864	-0.192130287924726	-0.017011563096706	0.0109350784621677	0.0117200706359504	0.0534163139988335			0.0156933765530976			InUKBB	WBS-R_500	England-NorthernIreland
3	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0116533548228237	0.794915016651805	-0.0996894355685818	0.0763827259229344	0.000135800678626628	0.0118558710533627	0.115487395634054			0.0158752156522564			InUKBB	WBS-R_500	England-NorthernIreland
4	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0669519977062694	0.134908439537473	-0.15479650776411	0.0208925123515708	0.0044825699968603	0.0163384415873199	0.0855195480121096			0.0218774548452034			InUKBB	WBS-R_500	England-NorthernIreland
5	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.00605355692829765	0.892592826800285	-0.0940940027730261	0.0819868889164308	3.66455514841405e-05	0.0163750864556768	0.146540580584536			0.0219265229554331			InUKBB	WBS-R_500	England-NorthernIreland
6	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0785654543332029	0.0792432901637681	-0.00920446294795441	0.16633537161436	0.00617253061458259	0.022547615981919	0.0798539895487492			0.0301916463620529			InUKBB	WBS-R_500	England-NorthernIreland
7	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0368788565825875	0.410592005783554	-0.051103311277185	0.12486102444236	0.00136005006283906	0.0239076661452524	0.101691068561364			0.0320127769684524			InUKBB	WBS-R_500	England-NorthernIreland
8	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0197008613779	0.66032483611927	-0.0683241103829789	0.107725833138779	0.000388123939031231	0.024295789476532	0.144633532005507			0.0325324807975513			InUKBB	WBS-R_500	England-NorthernIreland
9	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.366074021159191	2.65936738824329e-17	0.28414333690168	0.448004705416702	0.13401018896766	0.158305985820626	1.60218870956046e-14			0.211974443095235			InUKBB	WBS-R_500	England-NorthernIreland
10	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.059576437217817	0.183512680343944	-0.147462111239011	0.0283092368033775	0.00354935187156848	0.161855359211885	2.06989948437406e-14			0.216727115232356			InUKBB	WBS-R_500	England-NorthernIreland
11	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.166331614062226	0.000186944268043147	0.0795159921037727	0.253147236020679	0.0276662058365453	0.189521605489014	3.6601180476667e-17			0.253772695768869			InUKBB	WBS-R_500	England-NorthernIreland
12	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.11638386762151	0.00919370394723236	0.0289401153951913	0.203827619847828	0.0135452046425411	0.203066847817874	2.81825164579654e-18			0.271910008671892			InUKBB	WBS-R_500	England-NorthernIreland
13	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0839629888207489	0.0606437052103857	-0.00376818259477989	0.171694160236278	0.00704978349171321	0.210116643963197	1.29546178977265e-18			0.281349807199365			InUKBB	WBS-R_500	England-NorthernIreland
14	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.00111437598887117	0.980169946883964	-0.0869276283787187	0.089156380356461	1.2418338445726e-06	0.210117885760568	4.20069413859313e-18			0.281351469987444			InUKBB	WBS-R_500	England-NorthernIreland
15	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0847073601682462	0.0583876055538839	-0.172432984833951	0.00301826449745828	0.00717533686667298	0.21729323075639	1.78248985763184e-18			0.290959380589314			InUKBB	WBS-R_500	England-NorthernIreland
16	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.077334525317381	0.0840756983515395	-0.0104438654631401	0.165112916097902	0.00598062880606464	0.223273839394995	1.0341790542683e-18			0.298967518620023			InUKBB	WBS-R_500	England-NorthernIreland
17	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	-0.0426975455632763	0.340695932063376	-0.130659314111017	0.0452642229844639	0.00182308039712806	0.225096908600035	1.88071355984846e-18			0.301408639702459			InUKBB	WBS-R_500	England-NorthernIreland
18	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0522861289742057	0.243200063449306	-0.0356355012758618	0.140207759224273	0.00273383928310727	0.227830739515519	2.59580750822796e-18			0.305069286410302			InUKBB	WBS-R_500	England-NorthernIreland
19	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0686172883721099	0.12544955733638	-0.0192172604838448	0.156451837228065	0.00470833226354129	0.232539060834906	2.03673199178887e-18			0.311373809795295			InUKBB	WBS-R_500	England-NorthernIreland
20	7.85881916240091e-05	1.86591409005732e-11	0.746816377998468	0.0493018402097698	0.271187210453176	-0.0386331530650748	0.137236833484614	0.00243067144806968	0.234969727753589	2.95234822546596e-18			0.314628514687008			InUKBB	WBS-R_500	England-NorthernIreland
