PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.0277349718173649	1.75293106976339e-18	0.0215392688247612	0.0339306748099687	0.000769228661710028	0.000769228661710028	1.75293106976332e-18			0.00462044290854485			HGDP1KG	e5	eurasia-lat
2	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.212347676020624	0	-0.218404410878211	-0.206290941163036	0.0450915355113598	0.0458607641010157	0			0.275466909670175			HGDP1KG	e5	eurasia-lat
3	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.0294100339165702	1.37614428835741e-20	0.0232146276901347	0.0356054401430057	0.000864950094973809	0.0467257143014983	0			0.280662312830505			HGDP1KG	e5	eurasia-lat
4	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.010546022676075	0.000853005539820795	0.00434828003251385	0.0167437653196362	0.000111218594284289	0.0468369328010815	0			0.281330357006805			HGDP1KG	e5	eurasia-lat
5	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.068823417158154	2.92192524331245e-105	-0.0750068079340999	-0.062640026382208	0.00473666274932528	0.0515735950887323	0			0.309781555937036			HGDP1KG	e5	eurasia-lat
6	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00911690666383027	0.00393853799414063	0.0029190769310293	0.0153147363966313	8.31179871169929e-05	0.051656713064128	0			0.310280811722872			HGDP1KG	e5	eurasia-lat
7	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00124921484236057	0.692819541305985	-0.00744729733060904	0.00494886764588791	1.56053772237393e-06	0.0516582736025209	0			0.31029018524067			HGDP1KG	e5	eurasia-lat
8	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00446197196542378	0.15824791294307	-0.0106599975900807	0.00173605365923309	1.99091938202278e-05	0.0516781828101667	0			0.310409771732777			HGDP1KG	e5	eurasia-lat
9	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00267924029475668	0.396860747657424	-0.00351882478367468	0.00887730537318804	7.17832855704784e-06	0.0516853611371551	0			0.310452889015946			HGDP1KG	e5	eurasia-lat
10	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00102453627264777	0.745951016869103	-0.00517354779878895	0.00722262034408448	1.04967457397098e-06	0.0516864108092533	0			0.310459193968223			HGDP1KG	e5	eurasia-lat
11	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00109504887164205	0.729131821520364	-0.00510303473661922	0.00729313247990332	1.19913203128453e-06	0.0516876099403704	0			0.310466396659883			HGDP1KG	e5	eurasia-lat
12	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00602619789960757	0.0566963341284125	-0.00017177688183555	0.0122241726810507	3.63150611252347e-05	0.0517239250089169	0			0.310684526468731			HGDP1KG	e5	eurasia-lat
13	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00121866139423457	0.699963382929695	-0.00497942132768857	0.00741674411615772	1.48513559379775e-06	0.0517254101420512	0			0.310693447057888			HGDP1KG	e5	eurasia-lat
14	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00455270778957409	0.149957366259537	-0.00164531530018064	0.0107507308793288	2.07271482172486e-05	0.0517461372695293	0			0.31081794646091			HGDP1KG	e5	eurasia-lat
15	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.0025853628727641	0.413611519022167	-0.00361270373730478	0.00878342948283298	6.68410118386705e-06	0.0517528213675684	0			0.310858095112309			HGDP1KG	e5	eurasia-lat
16	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00281466203625645	0.373431025464867	-0.00338340073649687	0.00901272480900977	7.92232237834331e-06	0.0517607436968207	0			0.310905681313701			HGDP1KG	e5	eurasia-lat
17	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.000200411611297403	0.949467954405468	-0.00599767558865499	0.00639849881124979	4.01648139428212e-08	0.0517607838629332	0			0.310905922575161			HGDP1KG	e5	eurasia-lat
18	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00283688401261835	0.36966978193698	-0.0033611783709291	0.0090349463961658	8.04791090104957e-06	0.0517688317661955	0			0.310954263048426			HGDP1KG	e5	eurasia-lat
19	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.000542281934640916	0.86384441021875	-0.00674036834773092	0.00565580447844909	2.94069696637895e-07	0.0517691258367706	0			0.31095602941046			HGDP1KG	e5	eurasia-lat
20	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00596347549633931	0.0593205996212674	-0.0121614526083706	0.000234501615692002	3.55630399954394e-05	0.0518046888670475	0			0.311169642032075			HGDP1KG	e5	eurasia-lat
21	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00833783690081163	0.00837246304644975	-0.0145357087774512	-0.00213996502417207	6.95195241845361e-05	0.0518742084020084	0			0.311587217531149			HGDP1KG	e5	eurasia-lat
22	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00346847104803689	0.272721642348021	-0.0096665210899513	0.00272957899387753	1.20302914110701e-05	0.0518862386970559	0			0.311659478608			HGDP1KG	e5	eurasia-lat
23	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00161782552847653	0.608934280870517	-0.00458025368463188	0.00781590474158494	2.61735944059036e-06	0.0518888560544286	0			0.311675200006479			HGDP1KG	e5	eurasia-lat
24	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00145770847814061	0.644825597036081	-0.00765578921736073	0.00474037226107951	2.124914007243e-06	0.0518909809638917	0			0.311687963471166			HGDP1KG	e5	eurasia-lat
25	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.0027916508737129	0.377350714882377	-0.00898971404626852	0.00340641229884273	7.79331460070198e-06	0.0518987742732222	0			0.311734774702497			HGDP1KG	e5	eurasia-lat
26	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.00843946457460637	0.00761211337860379	0.00224159798214033	0.0146373311670724	7.12245623060359e-05	0.0519699988378819	0			0.312162591619725			HGDP1KG	e5	eurasia-lat
27	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00266247623117483	0.399821607133226	-0.00886054158712305	0.0035355891247734	7.08877968157092e-06	0.0519770876210624	0			0.312205171049753			HGDP1KG	e5	eurasia-lat
28	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	3.95001716353801e-05	0.990033966964009	-0.0061585871479542	0.00623758749122496	1.56026355922448e-09	0.0519770891812587	0			0.312205180421216			HGDP1KG	e5	eurasia-lat
29	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.000447399844405243	0.887491950122338	-0.00575068685969453	0.00664548654850502	2.00166620773836e-07	0.0519772893458328	0			0.312206382728193			HGDP1KG	e5	eurasia-lat
30	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00327639126515455	0.300166818597621	-0.00947444532206307	0.00292166279175398	1.0734739722381e-05	0.051988024076099	0			0.312270861875685			HGDP1KG	e5	eurasia-lat
31	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.000233553804476063	0.941125543482424	-0.00596453335090413	0.00643164095985625	5.45473795852432e-08	0.0519880786242293	0			0.312271189524062			HGDP1KG	e5	eurasia-lat
32	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00369896725987167	0.242119490863538	-0.00989701218192424	0.0024990776621809	1.36823587896025e-05	0.0520017609816328	0			0.312353373865837			HGDP1KG	e5	eurasia-lat
33	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.000863657795689857	0.784769265416523	-0.00533442721714311	0.00706174280852282	7.45904788055863e-07	0.0520025068868034	0			0.312357854214045			HGDP1KG	e5	eurasia-lat
34	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00206289164876132	0.514184339669853	-0.00826096578512385	0.00413518248760121	4.25552195452921e-06	0.0520067624104715	0			0.312383415409477			HGDP1KG	e5	eurasia-lat
35	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00350810422525311	0.267279435232755	-0.00970615341026483	0.00268994495975861	1.23067952552387e-05	0.0520190692231513	0			0.312457337414992			HGDP1KG	e5	eurasia-lat
36	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.0119636605323751	0.000154744194123301	0.00576601678738059	0.0181613042773697	0.000143129173333911	0.05216219841217	0			0.313317056090759			HGDP1KG	e5	eurasia-lat
37	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00430659573558265	0.173243826946153	-0.0105046255825008	0.00189143411133555	1.85467668297386e-05	0.0521807451847128	0			0.313428458990751			HGDP1KG	e5	eurasia-lat
38	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	0.0018447521089899	0.559654315843278	-0.00435332466903849	0.00804282888701828	3.40311034362267e-06	0.0521841483005265	0			0.313448900119783			HGDP1KG	e5	eurasia-lat
39	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00360271535396782	0.254591356068154	-0.00980076245404549	0.00259533174610984	1.29795579217155e-05	0.0521971278493189	0			0.313526862976809			HGDP1KG	e5	eurasia-lat
40	2.73085395636711e-05	2.05352310536327e-12	0.166483749920911	-0.00150146446038038	0.634930185557095	-0.00769954479833118	0.00469661587757042	2.25439552578534e-06	0.0521993822497435	0			0.3135404042409			HGDP1KG	e5	eurasia-lat
1	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.011350862196597	0.000331276547608714	-0.0175485502209512	-0.00515317417224266	0.000128842072606134	0.000128842072606134	0.000331276547608716			0.00134873479104392			HGDP1KG	e5	eurasia-long
2	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.11107183037451	6.33392353412175e-272	0.104912094453388	0.117231566295632	0.0123369515027439	0.0124657935599254	4.12628675690798e-273			0.130493472606883			HGDP1KG	e5	eurasia-long
3	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.0671191022662206	3.39489764710487e-100	-0.0733032127207392	-0.0609349918117021	0.00450497388902338	0.0169707675745808	0			0.17765209915963			HGDP1KG	e5	eurasia-long
4	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.0674066821894849	4.84285144003255e-101	0.0612226918995439	0.0735906724794259	0.00454366080379422	0.0215144287285975	0			0.225215707483992			HGDP1KG	e5	eurasia-long
5	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.0494501849767803	3.48810625102653e-55	0.0432596804466933	0.0556406895068672	0.00244532079423779	0.0239597493974161	0			0.250813627438109			HGDP1KG	e5	eurasia-long
6	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.00642474667882347	0.0421861774907759	-0.0126227060815567	-0.000226787276090188	4.12773698870532e-05	0.024001026755016	0			0.251245723935404			HGDP1KG	e5	eurasia-long
7	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000514620130420089	0.870726969601968	-0.00671270663411318	0.00568346637327301	2.6483387863359e-07	0.0240012915883788	0			0.251248496243883			HGDP1KG	e5	eurasia-long
8	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00103052260750998	0.744518269179084	-0.00516756142580144	0.0072286066408214	1.06197684458916e-06	0.0240023535660476	0			0.251259613157793			HGDP1KG	e5	eurasia-long
9	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000553436867835115	0.861071830928414	-0.00675152324304653	0.0056446495073763	3.06292366679143e-07	0.0240026598579437	0			0.251262819459338			HGDP1KG	e5	eurasia-long
10	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	3.95040675912898e-05	0.990032984051678	-0.00615858325199734	0.00623759138717991	1.56057135625719e-09	0.0240026614186061	0			0.251262835796546			HGDP1KG	e5	eurasia-long
11	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00267936534004934	0.396838712053546	-0.00351869973630545	0.00887743041640412	7.1789986254577e-06	0.0240098404156314	0			0.251337986427524			HGDP1KG	e5	eurasia-long
12	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000818264649669625	0.795824426226727	-0.00701634989910769	0.00537982059976844	6.69557036898953e-07	0.0240105099732562	0			0.251344995439758			HGDP1KG	e5	eurasia-long
13	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.0011741661727461	0.710414520680044	-0.00737224922462278	0.00502391687913057	1.37866620122123e-06	0.0240118886380027	0			0.251359427473263			HGDP1KG	e5	eurasia-long
14	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000920959738735446	0.770875831169759	-0.00711904443465372	0.00527712495718283	8.48166840371662e-07	0.0240127368033263	0			0.251368306173033			HGDP1KG	e5	eurasia-long
15	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.00292569892341601	0.354873507489988	-0.00912375972085614	0.00327236187402411	8.55971419047761e-06	0.024021296514975	0			0.251457910295883			HGDP1KG	e5	eurasia-long
16	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000230941333300078	0.94178292108876	-0.0064290284924409	0.00596714582584074	5.33338994264179e-08	0.0240213498489621	0			0.251458468602672			HGDP1KG	e5	eurasia-long
17	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.000672328716174136	0.83163399910852	-0.0055257572074026	0.00687041463975087	4.52025902592362e-07	0.0240218018730448	0			0.251463200446816			HGDP1KG	e5	eurasia-long
18	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.0019865316771859	0.529879977125977	-0.00818460677181761	0.00421154341744582	3.94630810446302e-06	0.0240257481815767	0			0.251504510893827			HGDP1KG	e5	eurasia-long
19	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000471604545348227	0.881449005658426	-0.00666969118051217	0.00572648208981571	2.22410847193108e-07	0.0240259705919515	0			0.251506839113207			HGDP1KG	e5	eurasia-long
20	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00452793761206972	0.152187030072555	-0.0016700861747576	0.010725961398897	2.05022190187957e-05	0.0240464728135645	0			0.251721458911102			HGDP1KG	e5	eurasia-long
21	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00760604939120874	0.0161614617518504	0.00140814135521164	0.0138039574272058	5.78519873415068e-05	0.0241043248042653	0			0.25232706072277			HGDP1KG	e5	eurasia-long
22	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00457025195057216	0.148393279622201	-0.00162777064316098	0.0107682745443053	2.08872028917087e-05	0.0241252120140095	0			0.252545710624157			HGDP1KG	e5	eurasia-long
23	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.00110520166519745	0.72672058252446	-0.00730328520423011	0.0050928818738352	1.22147072075523e-06	0.0241264334827439	0			0.252558497110318			HGDP1KG	e5	eurasia-long
24	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.00091431059637925	0.772484312178343	-0.00711239533011509	0.00528377413735659	8.3596386665138e-07	0.0241272694491192	0			0.252567248109985			HGDP1KG	e5	eurasia-long
25	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00248480839343567	0.432009980961522	-0.00371325979661886	0.00868287658349019	6.17427275208833e-06	0.0241334437190691	0			0.252631881133362			HGDP1KG	e5	eurasia-long
26	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.0101334310857642	0.00135290482274127	-0.0163312001723028	-0.0039356619992255	0.000102686425569931	0.0242361301596891	0			0.253706815525764			HGDP1KG	e5	eurasia-long
27	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.00213838249156499	0.498908442644066	-0.00833645564503971	0.00405969066190973	4.57267968023168e-06	0.0242407028409718	0			0.253754682920393			HGDP1KG	e5	eurasia-long
28	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000435973140669951	0.890347036671931	-0.0066340598760516	0.0057621135947117	1.90072579385621e-07	0.0242408929134143	0			0.253756672622288			HGDP1KG	e5	eurasia-long
29	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-5.91567315200886e-05	0.985075029730785	-0.00625724404509983	0.00613893058205965	3.49951888413984e-09	0.024240896412858	0			0.253756709254899			HGDP1KG	e5	eurasia-long
30	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000415464690617415	0.895474840228309	-0.00661355148011355	0.00578262209887872	1.72610909149824e-07	0.0242410690242959	0			0.253758516172833			HGDP1KG	e5	eurasia-long
31	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00152271725162601	0.630147157202762	-0.00467536288714188	0.00772079739039391	2.31866782839948e-06	0.0242433876897878	0			0.253782788250691			HGDP1KG	e5	eurasia-long
32	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00453502001256032	0.151546953688999	-0.00166300357534511	0.0107330436004657	2.05664065143226e-05	0.0242639540942215	0			0.253998079922312			HGDP1KG	e5	eurasia-long
33	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.00318340396935503	0.314093050482523	-0.00938145988780337	0.00301465194909331	1.01340608321054e-05	0.0242740881582084	0			0.254104164560639			HGDP1KG	e5	eurasia-long
34	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	0.00198863329219696	0.529444758595108	-0.00420944177654447	0.00818670836093839	3.95466237083412e-06	0.0242780428214622	0			0.254145562465915			HGDP1KG	e5	eurasia-long
35	2.45372451095784e-05	1.88880795841557e-12	0.0955281004551015	-0.000299701421169879	0.924495348982956	-0.00649778846723575	0.005898385624896	8.98209418512451e-08	0.0242781326422068	0			0.254146502720606			HGDP1KG	e5	eurasia-long
