PC	H	varH	signal	B	lcB	ucB	B2	R2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	-0.821935903695709	-0.825466210240308	-0.81840559715111	0.675578629784081	0.675578629784081			0.845981023908216			InUKBB	e5	England-NorthernIreland
2	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	-0.0120056616258223	-0.0182033022506685	-0.00580802100097603	0.000144135911073742	0.675722765815882			0.846161515626559			InUKBB	e5	England-NorthernIreland
3	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	0.0698779081831906	0.0636949717652109	0.0760608446011703	0.00488292205205841	0.680605687795935			0.852276065664457			InUKBB	e5	England-NorthernIreland
4	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	0.0236739504717537	0.0174776002681585	0.0298703006753488	0.000560455930939047	0.681166143807423			0.852977886488194			InUKBB	e5	England-NorthernIreland
5	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	0.0226187179671225	0.0164222163361154	0.0288152195981296	0.000511606402476232	0.681677750372662			0.85361853648335			InUKBB	e5	England-NorthernIreland
6	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	0.0146348478623585	0.00843742432284348	0.0208322714018736	0.00021417877195438	0.681891929213902			0.853886738032989			InUKBB	e5	England-NorthernIreland
7	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	-0.00397356925604802	-0.0101716076486965	0.00222446913660043	1.578925263261e-05	0.681907718510333			0.85390650989162			InUKBB	e5	England-NorthernIreland
8	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	-0.000164585696621178	-0.00636267293709778	0.00603350154385543	2.70884515322784e-08	0.681907745598378			0.853906543812131			InUKBB	e5	England-NorthernIreland
9	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	-0.00389331580418471	-0.010091356153413	0.00230472454504361	1.51579079511144e-05	0.681922903518001			0.853925525040662			InUKBB	e5	England-NorthernIreland
10	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	0.0052141548610657	-0.00098384820781304	0.0114121579299444	2.7187410915175e-05	0.681950090942835			0.853959569997806			InUKBB	e5	England-NorthernIreland
11	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	0.00247341787635258	-0.00372465048872643	0.00867148624143159	6.11779599106052e-06	0.681956208725257			0.853967230879322			InUKBB	e5	England-NorthernIreland
12	9.85043333797367e-05	6.22509287096097e-12	0.79857421229507	-0.00369485356832368	-0.00989289858463709	0.00250319144798973	1.36519428913542e-05	0.681969860657603			0.853984326262738			InUKBB	e5	England-NorthernIreland
