PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
1	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.0170546868718608	0.0330839058507751	0.346026852507513	HGDP1KG	WBS	sdi-eur
2	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.00305209683316655	0.0341434666779061	0.357108872257724	HGDP1KG	WBS	sdi-eur
3	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.00742944370714964	0.0404217637819908	0.422774014572913	HGDP1KG	WBS	sdi-eur
4	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000112687088549631	0.040423208150222	0.422789121319835	HGDP1KG	WBS	sdi-eur
5	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000840840771366742	0.0405036268028614	0.423630225552849	HGDP1KG	WBS	sdi-eur
6	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.00132220224840861	0.0407024765779003	0.425710009061148	HGDP1KG	WBS	sdi-eur
7	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000801739153219727	0.0407755897078594	0.426474704328714	HGDP1KG	WBS	sdi-eur
8	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000344995427918444	0.0407891277516839	0.426616299662556	HGDP1KG	WBS	sdi-eur
9	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000287966184926651	0.0407985599384121	0.426714951553917	HGDP1KG	WBS	sdi-eur
10	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.00103336634035374	0.0409200212338216	0.427985323617651	HGDP1KG	WBS	sdi-eur
11	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	8.75892793691759e-05	0.0409208938660495	0.427994450538293	HGDP1KG	WBS	sdi-eur
12	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	2.48433765261624e-05	0.0409209640679976	0.427995184785309	HGDP1KG	WBS	sdi-eur
13	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	1.50763152735178e-05	0.0409209899217019	0.427995455190985	HGDP1KG	WBS	sdi-eur
14	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000164304493340942	0.0409240605541694	0.428027571147689	HGDP1KG	WBS	sdi-eur
15	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000419320387715947	0.0409440601617751	0.428236748422658	HGDP1KG	WBS	sdi-eur
16	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000362136127200297	0.0409589768712403	0.428392763315497	HGDP1KG	WBS	sdi-eur
17	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	4.51533162324537e-05	0.0409592087758429	0.428395188821727	HGDP1KG	WBS	sdi-eur
18	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000337211214871131	0.0409721427880166	0.428530466546882	HGDP1KG	WBS	sdi-eur
19	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-9.2723712266682e-05	0.0409731207226336	0.428540694832473	HGDP1KG	WBS	sdi-eur
20	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-2.20573670639385e-05	0.0409731760620659	0.42854127363141	HGDP1KG	WBS	sdi-eur
21	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000105736083962185	0.0409744477366487	0.428554574163557	HGDP1KG	WBS	sdi-eur
22	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000137460307705002	0.0409765969691976	0.428577053134981	HGDP1KG	WBS	sdi-eur
23	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000146645884628123	0.040979043041017	0.428602636768802	HGDP1KG	WBS	sdi-eur
24	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000147057259438207	0.0409815028561416	0.4286283641448	HGDP1KG	WBS	sdi-eur
25	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000152376286844693	0.0409841438310119	0.428655986283071	HGDP1KG	WBS	sdi-eur
26	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000202631562008268	0.040988814113299	0.428704833087539	HGDP1KG	WBS	sdi-eur
27	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000222190883427385	0.0409944295251834	0.428763565067633	HGDP1KG	WBS	sdi-eur
28	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000477026702704432	0.0410203125327263	0.42903427722822	HGDP1KG	WBS	sdi-eur
29	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000277274991404322	0.0410290573480035	0.42912573985418	HGDP1KG	WBS	sdi-eur
