error	signal	dataset	gwas	contrasts
0.865912813613685	0.134087186386316	HGDP1KG	WBS	sdi-eur
0.923674072357356	0.0763259276426438	HGDP1KG	WBS	eurasia-lat
0.912231656024221	0.0877683439757786	HGDP1KG	WBS	eurasia-long
0.798355116256739	0.201644883743261	HGDP1KG	WBS	eur-lat
0.90743924080106	0.0925607591989403	HGDP1KG	WBS	eur-long
0.923997206533599	0.0760027934664015	HGDP1KG	WBS	eas-nfe
0.916571477288781	0.0834285227112186	HGDP1KG	WBS	eas-sas
0.935361467180882	0.064638532819118	HGDP1KG	WBS	eas-afr
0.905920874397559	0.094079125602441	HGDP1KG	WBS	eas-amr
0.939992000995408	0.0600079990045922	HGDP1KG	WBS	nfe-sas
0.918456560833396	0.0815434391666036	HGDP1KG	WBS	nfe-afr
0.964659541476136	0.0353404585238635	HGDP1KG	WBS	nfe-amr
0.915637313875452	0.0843626861245477	HGDP1KG	WBS	sas-afr
0.972196609085715	0.0278033909142851	HGDP1KG	WBS	sas-amr
0.910614060148424	0.089385939851576	HGDP1KG	WBS	afr-amr
0.210014194085889	0.789985805914111	HGDP1KG	ALL	sdi-eur
0.0040440036268518	0.995955996373148	HGDP1KG	ALL	eurasia-lat
0.00406541522338479	0.995934584776615	HGDP1KG	ALL	eurasia-long
0.0548375313420328	0.945162468657967	HGDP1KG	ALL	eur-lat
0.0264846754057311	0.973515324594269	HGDP1KG	ALL	eur-long
0.00479306749719383	0.995206932502806	HGDP1KG	ALL	eas-nfe
0.0088672545215228	0.991132745478477	HGDP1KG	ALL	eas-sas
0.00370436147327107	0.996295638526729	HGDP1KG	ALL	eas-afr
0.00843459937624433	0.991565400623756	HGDP1KG	ALL	eas-amr
0.00361747614129614	0.996382523858704	HGDP1KG	ALL	nfe-sas
0.00182090335145444	0.998179096648546	HGDP1KG	ALL	nfe-afr
0.00382029255896193	0.996179707441038	HGDP1KG	ALL	nfe-amr
0.00213050389771376	0.997869496102286	HGDP1KG	ALL	sas-afr
0.0190144436094652	0.980985556390535	HGDP1KG	ALL	sas-amr
0.00240117383007112	0.997598826169929	HGDP1KG	ALL	afr-amr
0.59248706343764	0.40751293656236	HGDP1KG	e5	sdi-eur
0.78678597760885	0.21321402239115	HGDP1KG	e5	eurasia-lat
0.835008982254793	0.164991017745207	HGDP1KG	e5	eurasia-long
0.393907073381622	0.606092926618378	HGDP1KG	e5	eur-lat
