error	signal	dataset	gwas	contrasts
0.126408279287614	0.873591720712386	InUKBB	WBS-R	England-NorthernIreland
0.0886480519296374	0.911351948070363	InUKBB	WBS-R	England-RepublicOfIrelend
0.074433583840889	0.925566416159111	InUKBB	WBS-R	England-Scotland
0.130705478365999	0.869294521634001	InUKBB	WBS-R	England-Wales
0.357592127446435	0.642407872553565	InUKBB	WBS-R	NorthernIreland-RepublicOfIrelend
0.721661542643583	0.278338457356417	InUKBB	WBS-R	NorthernIreland-Scotland
0.176826258112485	0.823173741887515	InUKBB	WBS-R	NorthernIreland-Wales
0.197364653266902	0.802635346733098	InUKBB	WBS-R	RepublicOfIrelend-Scotland
0.114322393694853	0.885677606305147	InUKBB	WBS-R	RepublicOfIrelend-Wales
0.122110896408649	0.877889103591351	InUKBB	WBS-R	Scotland-Wales
0.0641732635531966	0.935826736446803	InUKBB	ALL-R	England-NorthernIreland
0.0458073366296643	0.954192663370336	InUKBB	ALL-R	England-RepublicOfIrelend
0.047601128917432	0.952398871082568	InUKBB	ALL-R	England-Scotland
0.101833912112468	0.898166087887532	InUKBB	ALL-R	England-Wales
0.229553811668988	0.770446188331012	InUKBB	ALL-R	NorthernIreland-RepublicOfIrelend
0.320432754320354	0.679567245679646	InUKBB	ALL-R	NorthernIreland-Scotland
0.125621555227325	0.874378444772675	InUKBB	ALL-R	NorthernIreland-Wales
0.092768038785065	0.907231961214935	InUKBB	ALL-R	RepublicOfIrelend-Scotland
0.0672602195816031	0.932739780418397	InUKBB	ALL-R	RepublicOfIrelend-Wales
0.11266189521743	0.88733810478257	InUKBB	ALL-R	Scotland-Wales
0.0950455603170439	0.904954439682956	InUKBB	e5	England-NorthernIreland
0.0621967110834797	0.93780328891652	InUKBB	e5	England-RepublicOfIrelend
0.0594944778223707	0.940505522177629	InUKBB	e5	England-Scotland
0.12155783205212	0.87844216794788	InUKBB	e5	England-Wales
0.241297092101314	0.758702907898686	InUKBB	e5	NorthernIreland-RepublicOfIrelend
0.523334890000585	0.476665109999415	InUKBB	e5	NorthernIreland-Scotland
0.141322703865502	0.858677296134499	InUKBB	e5	NorthernIreland-Wales
0.126835878496878	0.873164121503122	InUKBB	e5	RepublicOfIrelend-Scotland
0.0802533543417981	0.919746645658202	InUKBB	e5	RepublicOfIrelend-Wales
0.106331889672337	0.893668110327663	InUKBB	e5	Scotland-Wales
0.0922744047103823	0.907725595289618	InUKBB	e10	England-NorthernIreland
0.0612477115891153	0.938752288410885	InUKBB	e10	England-RepublicOfIrelend
0.0585688422928302	0.94143115770717	InUKBB	e10	England-Scotland
0.120843797704111	0.879156202295889	InUKBB	e10	England-Wales
0.241823711356803	0.758176288643197	InUKBB	e10	NorthernIreland-RepublicOfIrelend
0.50640189103744	0.49359810896256	InUKBB	e10	NorthernIreland-Scotland
0.139450003983928	0.860549996016072	InUKBB	e10	NorthernIreland-Wales
0.12572897581163	0.87427102418837	InUKBB	e10	RepublicOfIrelend-Scotland
0.0797973892313936	0.920202610768606	InUKBB	e10	RepublicOfIrelend-Wales
0.106819566290002	0.893180433709998	InUKBB	e10	Scotland-Wales
0.0871232758656874	0.912876724134312	InUKBB	e50	England-NorthernIreland
0.0589245652354645	0.941075434764536	InUKBB	e50	England-RepublicOfIrelend
0.0566782612122803	0.94332173878772	InUKBB	e50	England-Scotland
0.117195617425958	0.882804382574042	InUKBB	e50	England-Wales
0.242624057812129	0.757375942187871	InUKBB	e50	NorthernIreland-RepublicOfIrelend
0.468668711230362	0.531331288769638	InUKBB	e50	NorthernIreland-Scotland
0.136348738374953	0.863651261625047	InUKBB	e50	NorthernIreland-Wales
0.12198008092058	0.87801991907942	InUKBB	e50	RepublicOfIrelend-Scotland
0.0781692432117406	0.921830756788259	InUKBB	e50	RepublicOfIrelend-Wales
0.107072186349705	0.892927813650296	InUKBB	e50	Scotland-Wales
0.0679106478243987	0.932089352175601	InUKBB	e200	England-NorthernIreland
0.0478654342250724	0.952134565774928	InUKBB	e200	England-RepublicOfIrelend
0.0486303787995664	0.951369621200434	InUKBB	e200	England-Scotland
0.102737234972023	0.897262765027978	InUKBB	e200	England-Wales
0.219320160545466	0.780679839454534	InUKBB	e200	NorthernIreland-RepublicOfIrelend
0.333158822506905	0.666841177493095	InUKBB	e200	NorthernIreland-Scotland
0.123983919365649	0.876016080634352	InUKBB	e200	NorthernIreland-Wales
0.0962244052180891	0.903775594781911	InUKBB	e200	RepublicOfIrelend-Scotland
0.0679226338470323	0.932077366152968	InUKBB	e200	RepublicOfIrelend-Wales
0.106215272443918	0.893784727556082	InUKBB	e200	Scotland-Wales
