PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
1	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.0159408858434207	0.0289037491572576	0.302306305418235	HGDP1KG	WBS	sdi-eur
2	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000809632856904182	0.0289783090847952	0.303086132841436	HGDP1KG	WBS	sdi-eur
3	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.0121930040323883	0.0458885856686309	0.479951881635696	HGDP1KG	WBS	sdi-eur
4	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-6.10622585824472e-06	0.0458885899095606	0.479951925991872	HGDP1KG	WBS	sdi-eur
5	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	2.77191783352664e-06	0.0458885907835088	0.479951935132556	HGDP1KG	WBS	sdi-eur
6	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000104498715136328	0.0458898328671393	0.479964926170893	HGDP1KG	WBS	sdi-eur
7	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.00128647221125062	0.0460780807743882	0.481933824012951	HGDP1KG	WBS	sdi-eur
8	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000458346909044271	0.0461019763657146	0.482183749650293	HGDP1KG	WBS	sdi-eur
9	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000180977733049647	0.0461057018221194	0.482222714455709	HGDP1KG	WBS	sdi-eur
10	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000210802871064184	0.046110756361512	0.482275580231739	HGDP1KG	WBS	sdi-eur
11	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	3.42297896414979e-05	0.0461108896339921	0.482276974137798	HGDP1KG	WBS	sdi-eur
12	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	4.93412446848349e-06	0.0461108924032455	0.48227700310161	HGDP1KG	WBS	sdi-eur
13	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	7.42644544373784e-05	0.0461115197257981	0.482283564311442	HGDP1KG	WBS	sdi-eur
14	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000148038370468617	0.0461140124682697	0.482309636076834	HGDP1KG	WBS	sdi-eur
15	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000194673739103505	0.0461183231260695	0.482354721543993	HGDP1KG	WBS	sdi-eur
16	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000274520261582869	0.0461268950379644	0.482444375761555	HGDP1KG	WBS	sdi-eur
17	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	6.0940220866005e-07	0.0461268950802041	0.482444376203343	HGDP1KG	WBS	sdi-eur
18	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-3.12667945605883e-07	0.0461268950913329	0.482444376319739	HGDP1KG	WBS	sdi-eur
19	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	3.13591638802768e-05	0.0461270069482621	0.482445546239075	HGDP1KG	WBS	sdi-eur
20	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	3.11014347456213e-05	0.0461271169727806	0.4824466969931	HGDP1KG	WBS	sdi-eur
21	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000283330057578102	0.0461362478994581	0.48254219798482	HGDP1KG	WBS	sdi-eur
22	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	2.24367715166757e-05	0.046136305159572	0.482542796872299	HGDP1KG	WBS	sdi-eur
23	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	3.68117630931345e-05	0.0461364592963191	0.482544408999165	HGDP1KG	WBS	sdi-eur
24	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-1.55606934233968e-05	0.0461364868380287	0.482544697059805	HGDP1KG	WBS	sdi-eur
25	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.00010485444224597	0.0461377373962235	0.482557776734193	HGDP1KG	WBS	sdi-eur
26	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000208567126968831	0.0461426852945945	0.482609527144425	HGDP1KG	WBS	sdi-eur
27	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	5.79767877981589e-05	0.0461430676245747	0.482613525960051	HGDP1KG	WBS	sdi-eur
28	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000155726611824775	0.046145826011353	0.482642376117562	HGDP1KG	WBS	sdi-eur
29	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	4.36668180614438e-05	0.0461460428986165	0.482644644556405	HGDP1KG	WBS	sdi-eur
30	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000809266567936192	0.0462205353861738	0.483423766620203	HGDP1KG	WBS	sdi-eur
31	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000142262536835572	0.046222837415565	0.483447843704335	HGDP1KG	WBS	sdi-eur
32	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.00150439942355718	0.0464802653293467	0.486140300004847	HGDP1KG	WBS	sdi-eur
33	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-0.000328876348220683	0.0464925678601636	0.48626897302295	HGDP1KG	WBS	sdi-eur
34	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-2.03713539630034e-05	0.0464926150634911	0.486269466725807	HGDP1KG	WBS	sdi-eur
35	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	9.78965529512238e-06	0.0464926259649319	0.486269580744728	HGDP1KG	WBS	sdi-eur
36	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000133411335770132	0.0464946504488775	0.486290754961908	HGDP1KG	WBS	sdi-eur
37	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.00023358398453626	0.0465008564839361	0.486355664310506	HGDP1KG	WBS	sdi-eur
38	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-2.31686686784034e-05	0.0465009175402959	0.486356302903184	HGDP1KG	WBS	sdi-eur
39	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	-5.08917192425443e-05	0.0465012121327482	0.486359384065955	HGDP1KG	WBS	sdi-eur
40	2.69742791326306e-05	2.11365704202112e-12	2.89029577863025e-09	0.0956108048003493	0.000200396169733963	0.0465057799548867	0.486407159232665	HGDP1KG	WBS	sdi-eur
1	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	0.00115325846684663	0.000812867979245753	0.0172755103660283	HGDP1KG	WBS	eurasia-lat
2	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	0.000259307596380443	0.000853963756852566	0.0181489000801922	HGDP1KG	WBS	eurasia-lat
3	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	-0.000230028960019258	0.000886303140695256	0.0188361941735378	HGDP1KG	WBS	eurasia-lat
4	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	7.35758440889882e-05	0.000889611687139834	0.0189065091937614	HGDP1KG	WBS	eurasia-lat
5	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	0.000122424199814688	0.00089877180447333	0.0191011849664443	HGDP1KG	WBS	eurasia-lat
6	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	0.000214308985072657	0.00092684213267008	0.0196977507780177	HGDP1KG	WBS	eurasia-lat
7	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	0.000759303283124064	0.00127921084248227	0.027186481364592	HGDP1KG	WBS	eurasia-lat
8	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	1.44121976331302e-05	0.00127933779065065	0.0271891793357938	HGDP1KG	WBS	eurasia-lat
9	2.41620108332465e-05	1.89105562026469e-12	3.05384600816351e-06	0.047053196231136	-0.000199355630789192	0.00130362757854447	0.0277053990581373	HGDP1KG	WBS	eurasia-lat
