H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
1.26150087096668e-05	109180	2.57563491684929e-13	4.90013263346366e-12	0.00310341358800685	0.00406488157376688	689	HGDP1KG	WBS	sdi-eur
1.20081139023204e-05	112621	2.34639404414488e-13	5.26540032343592e-11	0.0147027242010502	0.000816727141046598	2224	HGDP1KG	WBS	eurasia-lat
1.17570549076534e-05	112621	2.26890145514546e-13	7.6374483585681e-10	0.0422630078911082	0.000278187840722218	2224	HGDP1KG	WBS	eurasia-long
1.19237745998446e-05	136402	2.06740375483328e-13	2.75197491926284e-24	0.00454045603980398	0.00262611827871796	510	HGDP1KG	WBS	eur-lat
9.46256091694308e-06	136402	1.45433039940724e-13	1.14385926775714e-08	0.00412234560468594	0.00229543124821626	510	HGDP1KG	WBS	eur-long
1.17216849695527e-05	109180	2.28112702843485e-13	4.04216626184048e-08	0.0715192792792104	0.000163895457108724	1514	HGDP1KG	WBS	eas-nfe
1.14872191601294e-05	109180	2.20608530211653e-13	3.58813328955353e-07	0.0494512793832152	0.000232293669717034	1615	HGDP1KG	WBS	eas-sas
1.08333278796351e-05	109180	1.98274065317575e-13	8.50411339677562e-05	0.0894611389876718	0.000121095349357535	1828	HGDP1KG	WBS	eas-afr
1.15556734346625e-05	109180	2.18100528134581e-13	1.43699962413509e-07	0.0564907629442448	0.000204558636357376	1377	HGDP1KG	WBS	eas-amr
1.30783624674742e-05	109180	2.76917245879764e-13	4.75057547194938e-14	0.024058830851336	0.000543599252527597	1479	HGDP1KG	WBS	nfe-sas
1.16494299253714e-05	109180	2.24697125869487e-13	7.4645897063216e-08	0.0866357116887991	0.000134464526213126	1692	HGDP1KG	WBS	nfe-afr
1.17928681147915e-05	109180	2.32930958021237e-13	2.42197096290428e-08	0.0232054214021066	0.000508194525341433	1241	HGDP1KG	WBS	nfe-amr
1.13133261099745e-05	109180	2.14931451849198e-13	1.68825568919293e-06	0.0757551232976741	0.000149340739180368	1793	HGDP1KG	WBS	sas-afr
1.13877047319241e-05	109180	2.19919722742515e-13	1.00665558982153e-06	0.0223788654017152	0.000508859789247907	1342	HGDP1KG	WBS	sas-amr
1.15023144781828e-05	109180	2.20672447854458e-13	3.05119833496708e-07	0.0803145184901481	0.000143215880446245	1555	HGDP1KG	WBS	afr-amr
