H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
8.83510023038235e-06	145033	1.59247362066522e-13	5.81784495060315e-07	1.37280079974196e-05	0.643582101062517	143335	InUKBB	WBS-R	England-NorthernIreland
9.14160347321653e-06	145033	1.82719209145288e-13	7.36966669505538e-08	3.02374614480894e-05	0.302327081554466	144017	InUKBB	WBS-R	England-RepublicOfIrelend
9.12755453575828e-06	145033	1.80398524864721e-13	7.34485005475012e-08	6.01352958298237e-05	0.151783647353931	156806	InUKBB	WBS-R	England-Scotland
8.58044379402315e-06	145033	1.5494252702013e-13	9.26646944671305e-06	3.33502677224304e-05	0.257282606107902	150340	InUKBB	WBS-R	England-Wales
9.79486791128857e-06	145033	1.41790676916266e-13	6.74103150273234e-15	0.000505255456778996	0.0193859715513631	2922	InUKBB	WBS-R	NorthernIreland-RepublicOfIrelend
9.46393230672521e-06	145033	1.35115560578812e-13	1.38618579097294e-12	7.57514449588832e-05	0.124934016926834	15711	InUKBB	WBS-R	NorthernIreland-Scotland
8.77842147148001e-06	145033	1.45293620189329e-13	3.88310275312504e-07	0.00022517704828154	0.0389845303438932	9245	InUKBB	WBS-R	NorthernIreland-Wales
1.08887800389942e-05	145033	1.55709220594472e-13	2.2262922797138e-24	0.000144556459038345	0.075325448004408	16393	InUKBB	WBS-R	RepublicOfIrelend-Scotland
9.10715631017284e-06	145033	1.63685081762484e-13	2.27794281122544e-08	0.000367861646931655	0.0247570149977197	9927	InUKBB	WBS-R	RepublicOfIrelend-Wales
8.75587300169345e-06	145033	1.49585208202209e-13	7.49174841760125e-07	0.000255844916623962	0.0342233612347386	22716	InUKBB	WBS-R	Scotland-Wales
6.61483007176524e-06	145134	1.52540087481978e-13	0.759600209920888	1.37298703294381e-05	0.481783870717441	143335	InUKBB	ALL-R	England-NorthernIreland
5.25301603817935e-06	145134	1.75472388755998e-13	0.999953527833796	3.02458470733545e-05	0.173677266351289	144017	InUKBB	ALL-R	England-RepublicOfIrelend
5.6065058889798e-06	145134	1.73726320170129e-13	0.998964323820835	6.01333595378593e-05	0.093234536238575	156806	InUKBB	ALL-R	England-Scotland
7.31722454544078e-06	145134	1.48140204065123e-13	0.133604470256101	3.33640701484374e-05	0.219314505481085	150340	InUKBB	ALL-R	England-Wales
9.37061326980438e-06	145134	1.35617427549834e-13	8.16904374112203e-12	0.000505576525635695	0.0185345101970905	2922	InUKBB	ALL-R	NorthernIreland-RepublicOfIrelend
9.15413775266384e-06	145134	1.29096977206398e-13	1.47865864133167e-10	7.57758591042061e-05	0.120805463123488	15711	InUKBB	ALL-R	NorthernIreland-Scotland
7.3752391137361e-06	145134	1.3931201700019e-13	0.096875783145462	0.000225311433496036	0.0327335324235371	9245	InUKBB	ALL-R	NorthernIreland-Wales
9.72419817965114e-06	145134	1.49137297606201e-13	1.07979350110751e-13	0.00014461129014857	0.0672436997807067	16393	InUKBB	ALL-R	RepublicOfIrelend-Scotland
6.35137592282633e-06	145134	1.57277813506474e-13	0.912867751857525	0.00036802828115012	0.0172578474213388	9927	InUKBB	ALL-R	RepublicOfIrelend-Wales
7.01896523498835e-06	145134	1.44213903270341e-13	0.367261197026069	0.000255940559048401	0.0274242006076926	22716	InUKBB	ALL-R	Scotland-Wales
1.01614235949506e-05	145073	1.61195313317301e-13	1.96817320462326e-16	1.37303225868702e-05	0.740071730337028	143335	InUKBB	e5	England-NorthernIreland
9.58150325554524e-06	145073	1.84729183717702e-13	1.98714938497194e-10	3.02445542466383e-05	0.316800941333438	144017	InUKBB	e5	England-RepublicOfIrelend
9.99681973317094e-06	145073	1.82107636605414e-13	1.75633209653265e-13	6.01397306747865e-05	0.166226546427853	156806	InUKBB	e5	England-Scotland
9.60039927419489e-06	145073	1.56039298066157e-13	3.59932260105367e-12	3.33554303584547e-05	0.287821178471513	150340	InUKBB	e5	England-Wales
1.24295902983295e-05	145073	1.44337876966166e-13	2.08900807837504e-48	0.000505271878982951	0.0245998061941399	2922	InUKBB	e5	NorthernIreland-RepublicOfIrelend
1.1851287061937e-05	145073	1.37501141217445e-13	4.45274875001338e-41	7.57487495971499e-05	0.156455217082327	15711	InUKBB	e5	NorthernIreland-Scotland
1.02085660898163e-05	145073	1.47329488026159e-13	2.86576951896164e-18	0.00022522509347782	0.0453260599526476	9245	InUKBB	e5	NorthernIreland-Wales
1.30675130095119e-05	145073	1.58987140377163e-13	2.18452215884732e-54	0.000144581653249761	0.0903815436868611	16393	InUKBB	e5	RepublicOfIrelend-Scotland
1.00080267068875e-05	145073	1.66034088041063e-13	1.0484056105669e-14	0.000367939811204252	0.027200173512433	9927	InUKBB	e5	RepublicOfIrelend-Wales
9.72227584274913e-06	145073	1.51050255906587e-13	1.67519197324928e-13	0.000255858859899611	0.037998589716861	22716	InUKBB	e5	Scotland-Wales
1.02345802765599e-05	145126	1.61079407154025e-13	3.97497591104242e-17	1.37291779196654e-05	0.74546198879833	143335	InUKBB	e10	England-NorthernIreland
9.42241773860959e-06	145126	1.83638057844356e-13	1.72903442202298e-09	3.02411704471836e-05	0.311575828556831	144017	InUKBB	e10	England-RepublicOfIrelend
9.97269225263068e-06	145126	1.81647045014376e-13	2.38605776970279e-13	6.01340182746893e-05	0.16584110855649	156806	InUKBB	e10	England-Scotland
9.21523057247568e-06	145126	1.56744057498314e-13	2.15652258019474e-09	3.33551253564235e-05	0.276276298589926	150340	InUKBB	e10	England-Wales
1.23899010754056e-05	145126	1.44666486969385e-13	1.10619548426261e-47	0.00050535350695955	0.0245172951305893	2922	InUKBB	e10	NorthernIreland-RepublicOfIrelend
1.19370753997571e-05	145126	1.37682160206994e-13	1.99061937289217e-42	7.57584885808187e-05	0.157567496703986	15711	InUKBB	e10	NorthernIreland-Scotland
1.01667562359046e-05	145126	1.47457715492439e-13	7.21058014431187e-18	0.000225266448340266	0.0451321371238899	9245	InUKBB	e10	NorthernIreland-Wales
1.28913528927094e-05	145126	1.58483687963718e-13	1.20850139294705e-51	0.000144591700095818	0.0891569355928906	16393	InUKBB	e10	RepublicOfIrelend-Scotland
1.0009233867822e-05	145126	1.65225750977126e-13	8.44120146687313e-15	0.000367940401737485	0.0272034107169434	9927	InUKBB	e10	RepublicOfIrelend-Wales
9.53462000261568e-06	145126	1.51521495207642e-13	5.50802937248972e-12	0.00025590272884695	0.0372587664288571	22716	InUKBB	e10	Scotland-Wales
8.30459268824705e-06	145247	1.61761366719602e-13	0.000207744400904726	1.37287602893768e-05	0.604904777503695	143335	InUKBB	e50	England-NorthernIreland
6.12001167877816e-06	145247	1.85635854866024e-13	0.962059648018351	3.02418175872277e-05	0.202369175104173	144017	InUKBB	e50	England-RepublicOfIrelend
6.65703886510582e-06	145247	1.83859577291095e-13	0.702369976281787	6.01358735280861e-05	0.110699961180354	156806	InUKBB	e50	England-Scotland
