H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
1.32415267071811e-05	109180	2.38619603768752e-13	3.21366913268134e-17	0.0224421751544188	0.000590028667723586	689	HGDP1KG	WBS	sdi-eur
1.03437587627795e-05	112621	1.60596727512796e-13	0.000128971321515876	0.161150424643307	6.41869780093635e-05	2224	HGDP1KG	WBS	eurasia-lat
1.02493983840272e-05	112621	1.53996572427743e-13	0.000240361228829242	0.38666535729786	2.65071545474185e-05	2224	HGDP1KG	WBS	eurasia-long
1.22078123183851e-05	136402	1.75624743450744e-13	1.34550479131572e-31	0.0523178576037055	0.000233339300910527	510	HGDP1KG	WBS	eur-lat
9.38631773392242e-06	136402	1.30428591545671e-13	6.34073158407407e-09	0.0421650519261353	0.000222608945208116	510	HGDP1KG	WBS	eur-long
1.02856097383316e-05	109180	1.58683290083254e-13	0.00234406163799046	0.54178862191963	1.89845436434016e-05	1514	HGDP1KG	WBS	eas-nfe
1.00476531507264e-05	109180	1.49056024051841e-13	0.0106883804935318	0.410038007585467	2.45041995250455e-05	1615	HGDP1KG	WBS	eas-sas
1.09199379186205e-05	109180	1.85283079425027e-13	2.15189509707332e-05	0.421288123625601	2.59203554675209e-05	1828	HGDP1KG	WBS	eas-afr
9.96728436134662e-06	109180	1.43379370004792e-13	0.0164161378572708	0.543489964354524	1.83394082964977e-05	1377	HGDP1KG	WBS	eas-amr
1.20686621550251e-05	109180	2.26837540174835e-13	5.01856228596889e-10	0.165238052945549	7.30380317359591e-05	1479	HGDP1KG	WBS	nfe-sas
1.04528129780733e-05	109180	1.62456801636385e-13	0.000664787309855799	0.58053885295892	1.8005363335799e-05	1692	HGDP1KG	WBS	nfe-afr
1.11274646478352e-05	109180	2.02718324404719e-13	6.16710516345466e-06	0.117453786295618	9.47390884430809e-05	1241	HGDP1KG	WBS	nfe-amr
1.06393430285079e-05	109180	1.683635565079e-13	0.000154693545544818	0.453160294825457	2.34781006853343e-05	1793	HGDP1KG	WBS	sas-afr
1.11163831735868e-05	109180	2.04421715836081e-13	7.49504801894495e-06	0.147766322344266	7.52294771719894e-05	1342	HGDP1KG	WBS	sas-amr
1.03749605325602e-05	109180	1.57826643930252e-13	0.00110561227004956	0.572123407103976	1.81341305105434e-05	1555	HGDP1KG	WBS	afr-amr
5.36751938845888e-05	110816	4.93887526151838e-12	4.35033379260033e-90	0.023304689505995	0.00230319283467739	689	HGDP1KG	ALL	sdi-eur
0.00241519036258788	113970	5.36424264448772e-10	0	0.160636299168051	0.0150351469443479	2224	HGDP1KG	ALL	eurasia-lat
0.00236314051762257	113970	5.94535067222337e-10	0	0.385611263318542	0.00612829743946159	2224	HGDP1KG	ALL	eurasia-long
0.000175917713208862	137565	3.34357260438273e-11	2.61812081641953e-187	0.0529002634145832	0.00332546006113773	510	HGDP1KG	ALL	eur-lat
0.000321691331305555	137565	1.26514004435253e-10	2.94853505186343e-172	0.0433229587559183	0.00742542385246505	510	HGDP1KG	ALL	eur-long
0.00204174683642409	110816	6.09781407281669e-10	0	0.543519931182547	0.00375652615347853	1514	HGDP1KG	ALL	eas-nfe
0.00105664056867874	110816	1.78318185437086e-10	0	0.410576480654169	0.00257355357275995	1615	HGDP1KG	ALL	eas-sas
0.00283800781161557	110816	1.09415856403294e-09	0	0.423137177809284	0.00670706324201727	1828	HGDP1KG	ALL	eas-afr
0.00108867344651893	110816	1.55716877731946e-10	0	0.543420417681597	0.00200337236345213	1377	HGDP1KG	ALL	eas-amr
0.0031955635090909	110816	1.57009838056882e-09	0	0.168081262344893	0.0190120151676026	1479	HGDP1KG	ALL	nfe-sas
0.00556046911602632	110816	2.23852163315668e-09	0	0.580215565110487	0.0095834538926364	1692	HGDP1KG	ALL	nfe-afr
0.00289660962633261	110816	2.0242279770669e-09	0	0.12028152886785	0.0240819155991526	1241	HGDP1KG	ALL	nfe-amr
0.00477909145328637	110816	2.09475235592812e-09	0	0.453452902311172	0.0105393336969025	1793	HGDP1KG	ALL	sas-afr
0.000571330636323239	110816	5.60524002497974e-11	0	0.149508106254124	0.00382140240176763	1342	HGDP1KG	ALL	sas-amr
0.0040942545742963	110816	1.35545267865486e-09	0	0.570313184316994	0.0071789583107737	1555	HGDP1KG	ALL	afr-amr
1.93341568379215e-05	109217	2.77822554105612e-13	2.21373682734492e-83	0.0224653621874341	0.000860620749249972	689	HGDP1KG	e5	sdi-eur
1.21673550070925e-05	112644	1.67794764712414e-13	4.82348209399587e-16	0.161135998685761	7.55098494832348e-05	2224	HGDP1KG	e5	eurasia-lat
1.1217598107778e-05	112644	1.59313826172077e-13	2.27609592638735e-09	0.386593380534493	2.90165291818212e-05	2224	HGDP1KG	e5	eurasia-long
2.47470416799404e-05	136441	2.20455700301237e-13	1.59277875214216e-301	0.0523209371836329	0.000472985443534483	510	HGDP1KG	e5	eur-lat
1.5427430557712e-05	136441	1.59073739049247e-13	5.86705093212004e-92	0.0421847249813377	0.000365711298687785	510	HGDP1KG	e5	eur-long
1.11144227903767e-05	109217	1.6417454610724e-13	6.7177088912372e-07	0.541846962681678	2.05121068416991e-05	1514	HGDP1KG	e5	eas-nfe
1.06185801474644e-05	109217	1.54289283189674e-13	9.83215232402784e-05	0.410080139637463	2.58939146793402e-05	1615	HGDP1KG	e5	eas-sas
1.33820907359305e-05	109217	1.98820224978196e-13	1.30057028528276e-21	0.421338227575281	3.17609223661994e-05	1828	HGDP1KG	e5	eas-afr
1.05535788911248e-05	109217	1.48139468931652e-13	0.000141214450609534	0.543589672763407	1.94146052066706e-05	1377	HGDP1KG	e5	eas-amr
1.48039803887473e-05	109217	2.39727076227711e-13	4.38001020357536e-31	0.165269212702941	8.957494349148e-05	1479	HGDP1KG	e5	nfe-sas
1.3023921122752e-05	109217	1.73997749894526e-13	9.09247947565319e-21	0.58053598899425	2.24343044525375e-05	1692	HGDP1KG	e5	nfe-afr
1.24026791728202e-05	109217	2.09849093027936e-13	6.8426804615205e-13	0.117427109364833	0.000105620237438414	1241	HGDP1KG	e5	nfe-amr
1.27469123201659e-05	109217	1.79005026098307e-13	1.05879968771085e-17	0.453179676384213	2.81277228093496e-05	1793	HGDP1KG	e5	sas-afr
1.22051971794426e-05	109217	2.09617301525758e-13	1.37116976628754e-11	0.147788650676751	8.25854835506839e-05	1342	HGDP1KG	e5	sas-amr
1.22930219863635e-05	109217	1.6766035799965e-13	9.2178170414119e-15	0.572086421293575	2.14880506315236e-05	1555	HGDP1KG	e5	afr-amr
2.44677622595767e-05	109284	3.54913840562357e-13	4.39264192227647e-146	0.022482654561901	0.00108829507619797	689	HGDP1KG	e10	sdi-eur
1.7430649588355e-05	112702	2.0039076392861e-13	9.12948844211467e-82	0.161099948784784	0.000108197735131753	2224	HGDP1KG	e10	eurasia-lat
1.34532925927386e-05	112702	1.65562920340708e-13	1.07176175921187e-29	0.386522614530771	3.48059649991517e-05	2224	HGDP1KG	e10	eurasia-long
3.79872510378916e-05	136493	3.27369062287854e-13	0	0.0523374312629711	0.000725814204503531	510	HGDP1KG	e10	eur-lat
2.05581617016063e-05	136493	2.00338004389823e-13	2.2894695662633e-192	0.0422598395418278	0.000486470415517273	510	HGDP1KG	e10	eur-long
1.2742770345493e-05	109284	1.66792939299365e-13	7.09083674023775e-19	0.541878533149574	2.35159165125585e-05	1514	HGDP1KG	e10	eas-nfe
1.17415114571181e-05	109284	1.57999567796043e-13	3.55116350605222e-11	0.410137272106337	2.86282477981514e-05	1615	HGDP1KG	e10	eas-sas
1.62928295697634e-05	109284	2.22040922113489e-13	3.38399058385408e-52	0.421408319093663	3.86628095164445e-05	1828	HGDP1KG	e10	eas-afr
1.14461429346985e-05	109284	1.49288943790115e-13	1.4121255464715e-09	0.543631260971148	2.1054975599179e-05	1377	HGDP1KG	e10	eas-amr
2.09812500233196e-05	109284	2.87645904564786e-13	3.92155082917899e-108	0.165321623604516	0.000126911710433665	1479	HGDP1KG	e10	nfe-sas
1.77839182354736e-05	109284	2.10391383199894e-13	2.48409252944652e-79	0.580522895075628	3.06343098374386e-05	1692	HGDP1KG	e10	nfe-afr
1.49407711711671e-05	109284	2.24027267731413e-13	1.0293785093734e-34	0.117468571684118	0.00012718951934943	1241	HGDP1KG	e10	nfe-amr
1.56778831869038e-05	109284	2.01007004014765e-13	2.55512262737984e-48	0.453162531199169	3.45966007944582e-05	1793	HGDP1KG	e10	sas-afr
1.44605038077513e-05	109284	2.25709764585585e-13	2.64474292991162e-29	0.147803044821198	9.78363052347441e-05	1342	HGDP1KG	e10	sas-amr
1.55992562070101e-05	109284	1.93126615372832e-13	4.7103003651989e-49	0.572033754342687	2.72698177137027e-05	1555	HGDP1KG	e10	afr-amr
3.59058799091512e-05	109506	7.93025416319066e-13	6.83842061828941e-199	0.0225795988678506	0.00159019122169947	689	HGDP1KG	e50	sdi-eur
0.000136020922837284	112911	2.02268802544171e-12	0	0.161013151223559	0.000844781446755397	2224	HGDP1KG	e50	eurasia-lat
9.72504961189903e-05	112911	1.29055335488086e-12	0	0.38632172783418	0.000251734471846049	2224	HGDP1KG	e50	eurasia-long
7.31446834804738e-05	136691	1.25879782151038e-12	0	0.0524483776644356	0.00139460335548323	510	HGDP1KG	e50	eur-lat
4.83494671151207e-05	136691	1.04183806057414e-12	0	0.0424155666090812	0.00113989912148831	510	HGDP1KG	e50	eur-long
7.53690528588998e-05	109506	1.13194275998692e-12	0	0.54204690317713	0.000139045260506305	1514	HGDP1KG	e50	eas-nfe
