H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
6.06345044079187e-05	145033	4.30065325635408e-13	0	0.000182855821566622	0.331597342039378	143335	InUKBB	WBS-R	England-NorthernIreland
9.30595958036427e-05	145033	6.45239634414118e-13	0	0.000393608775256336	0.236426628809376	144017	InUKBB	WBS-R	England-RepublicOfIrelend
0.000110103533320661	145033	6.57998521917322e-13	0	0.000783149341933477	0.140590724431731	156806	InUKBB	WBS-R	England-Scotland
5.8657227165001e-05	145033	2.77883790265115e-13	0	0.000447218149405782	0.131160211728747	150340	InUKBB	WBS-R	England-Wales
2.04848884209787e-05	145033	1.77447266550207e-13	1.22148496234764e-228	0.00704139110830633	0.00290921042531124	2922	InUKBB	WBS-R	NorthernIreland-RepublicOfIrelend
1.05735085528705e-05	145033	1.20159749695177e-13	1.31139057692832e-26	0.00104396073398937	0.0101282626909397	15711	InUKBB	WBS-R	NorthernIreland-Scotland
4.18491236748103e-05	145033	2.43905773887176e-13	0	0.00302963385268577	0.0138132611760035	9245	InUKBB	WBS-R	NorthernIreland-Wales
3.83196737125454e-05	145033	2.90133354276575e-13	0	0.00194423623708157	0.0197093712079278	16393	InUKBB	WBS-R	RepublicOfIrelend-Scotland
6.83108927377294e-05	145033	4.40171568226876e-13	0	0.00484594352698255	0.0140965102786216	9927	InUKBB	WBS-R	RepublicOfIrelend-Wales
6.16224296542764e-05	145033	2.68003571074474e-13	0	0.00340478913440754	0.0180987506778446	22716	InUKBB	WBS-R	Scotland-Wales
0.000111745875759316	145134	1.77766152698192e-11	7.95145601237967e-137	0.000182989651121941	0.610667734892017	143335	InUKBB	ALL-R	England-NorthernIreland
0.00017210461746499	145134	2.05750851990921e-11	9.16575192108006e-291	0.00039405514901736	0.436752616719157	144017	InUKBB	ALL-R	England-RepublicOfIrelend
0.000163706667709028	145134	1.70620648563961e-11	0	0.000783317354607131	0.208991498459949	156806	InUKBB	ALL-R	England-Scotland
7.11769316433957e-05	145134	6.86383514448487e-12	2.90912002382314e-133	0.00044792442244695	0.158903886630173	150340	InUKBB	ALL-R	England-Wales
3.09796997142533e-05	145134	2.37196331013526e-12	1.9030323454638e-55	0.00705500821717946	0.00439116422838679	2922	InUKBB	ALL-R	NorthernIreland-RepublicOfIrelend
2.06718582929491e-05	145134	3.7609650379349e-12	5.95355539493344e-13	0.00104497868673045	0.0197820860419915	15711	InUKBB	ALL-R	NorthernIreland-Scotland
5.63484930666161e-05	145134	4.83072920672532e-12	1.95666440494369e-112	0.00303528061706138	0.0185645085827914	9245	InUKBB	ALL-R	NorthernIreland-Wales
7.75387351239762e-05	145134	1.0161287513424e-11	3.906785678594e-109	0.00194675911518523	0.0398296504786616	16393	InUKBB	ALL-R	RepublicOfIrelend-Scotland
0.000111881531515413	145134	1.02666363741562e-11	8.6354340275229e-236	0.00485308034338398	0.0230537150838511	9927	InUKBB	ALL-R	RepublicOfIrelend-Wales
6.55865428543129e-05	145134	2.1336971205358e-12	0	0.00340964225925983	0.0192356082742096	22716	InUKBB	ALL-R	Scotland-Wales
7.99991370377177e-05	145073	6.86433607776009e-13	0	0.000183013044383968	0.437122595861947	143335	InUKBB	e5	England-NorthernIreland
0.000132139040391755	145073	1.12403331426088e-12	0	0.000393993109328842	0.335384140643603	144017	InUKBB	e5	England-RepublicOfIrelend
0.000136771565217349	145073	1.05756794304715e-12	0	0.000783616368724628	0.174538933432378	156806	InUKBB	e5	England-Scotland
6.26148982286193e-05	145073	3.2096327335365e-13	0	0.000447577720825148	0.139897263235497	150340	InUKBB	e5	England-Wales
2.99148671551758e-05	145073	2.61937610758802e-13	0	0.00704368272559651	0.00424704920999156	2922	InUKBB	e5	NorthernIreland-RepublicOfIrelend
1.42101148781719e-05	145073	1.37637622493244e-13	6.88338191582641e-87	0.00104422641205251	0.0136082699251409	15711	InUKBB	e5	NorthernIreland-Scotland
5.18471694195546e-05	145073	3.495963697512e-13	0	0.0030323673066642	0.0170979186148098	9245	InUKBB	e5	NorthernIreland-Wales
5.91825460775118e-05	145073	5.11252548703753e-13	0	0.00194568701168841	0.0304173002759343	16393	InUKBB	e5	RepublicOfIrelend-Scotland
9.67649877890882e-05	145073	7.80703408307089e-13	0	0.00484977959425113	0.0199524506028671	9927	InUKBB	e5	RepublicOfIrelend-Wales
7.02300277851907e-05	145073	3.64749723301046e-13	0	0.00340619272093684	0.0206183365237991	22716	InUKBB	e5	Scotland-Wales
8.19312542880836e-05	145126	7.23428958936201e-13	0	0.000183091828330891	0.447487225590505	143335	InUKBB	e10	England-NorthernIreland
0.000133635983555616	145126	1.19123364096708e-12	0	0.000394139293055443	0.339057754226037	144017	InUKBB	e10	England-RepublicOfIrelend
0.00013829448733967	145126	1.09980302252312e-12	0	0.000783935206603309	0.176410609161033	156806	InUKBB	e10	England-Scotland
6.28403249365864e-05	145126	3.31921598503346e-13	0	0.000447851561303273	0.140315073935921	150340	InUKBB	e10	England-Wales
2.9816930616959e-05	145126	2.61397523872257e-13	0	0.00705045046137588	0.0042290816424147	2922	InUKBB	e10	NorthernIreland-RepublicOfIrelend
1.45609367778897e-05	145126	1.43573188619105e-13	2.03784432406968e-91	0.00104509590094545	0.0139326321773123	15711	InUKBB	e10	NorthernIreland-Scotland
5.23387351315178e-05	145126	3.63364149367556e-13	0	0.00303568409846202	0.0172411665489286	9245	InUKBB	e10	NorthernIreland-Wales
5.9494670772373e-05	145126	5.40868114261179e-13	0	0.00194730454427232	0.0305523195883084	16393	InUKBB	e10	RepublicOfIrelend-Scotland
9.69833962988136e-05	145126	8.06438051953748e-13	0	0.00485275306062229	0.0199852321120121	9927	InUKBB	e10	RepublicOfIrelend-Wales
6.97271383457295e-05	145126	3.76174242681121e-13	0	0.0034098541898812	0.0204487155352994	22716	InUKBB	e10	Scotland-Wales
8.58046131368109e-05	145247	9.0992767482778e-13	0	0.000183341559408252	0.468004163451818	143335	InUKBB	e50	England-NorthernIreland
0.000137758092515054	145247	1.40916639810412e-12	0	0.000394759918196215	0.348966767306355	144017	InUKBB	e50	England-RepublicOfIrelend
0.000141615897454507	145247	1.32653010304435e-12	0	0.000785223623862716	0.180351040328948	156806	InUKBB	e50	England-Scotland
6.43436752604496e-05	145247	3.84756682180099e-13	0	0.000448676503044445	0.143407722097887	150340	InUKBB	e50	England-Wales
2.96040582276435e-05	145247	2.75322631447946e-13	0	0.00706529716041073	0.00419006554933389	2922	InUKBB	e50	NorthernIreland-RepublicOfIrelend
1.54831983047083e-05	145247	1.75046569661814e-13	3.74554118750633e-94	0.00104693040006259	0.0147891381354315	15711	InUKBB	e50	NorthernIreland-Scotland
5.31329508197057e-05	145247	4.23075850208626e-13	0	0.00304125746814762	0.0174707177462578	9245	InUKBB	e50	NorthernIreland-Wales
6.0892888606515e-05	145247	6.26132779925954e-13	0	0.00195072625146899	0.031215496567322	16393	InUKBB	e50	RepublicOfIrelend-Scotland
9.82987738904044e-05	145247	9.07755059354865e-13	0	0.00486280206012201	0.0202144304199662	9927	InUKBB	e50	RepublicOfIrelend-Wales
6.93482034325119e-05	145247	4.03222406516452e-13	0	0.00341622840529932	0.0202996390185556	22716	InUKBB	e50	Scotland-Wales
0.000107366883343358	145217	9.79418598710382e-12	1.76674601153631e-226	0.000183317389859817	0.585688479557024	143335	InUKBB	e200	England-NorthernIreland
