H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp	method
1.23899871501358e-05	100000	1.24106336903892e-05	2.68514347598999e-13	1.99177147732008e-06	0.515891273652263	HGDP1KG	e5	eas-sas	100000	BJ
1.8377460407427e-05	63096	1.84085207669488e-05	6.17518565097256e-13	0.000645968540205347	0.515764436950526	HGDP1KG	e5	eas-sas	63096	BJ
2.78439398837572e-05	39811	2.78913590538882e-05	1.45213942705628e-12	0.0118631498438506	0.51569451093312	HGDP1KG	e5	eas-sas	39811	BJ
4.28763532761995e-05	25119	4.29495847345622e-05	3.57614707910521e-12	0.0524846549561793	0.51544512856731	HGDP1KG	e5	eas-sas	25119	BJ
6.58099854109785e-05	15849	6.59240488103589e-05	9.13600822469396e-12	0.184571397497038	0.515051336539253	HGDP1KG	e5	eas-sas	15849	BJ
0.000103690752153871	10000	0.000103868743923627	2.38472156505677e-11	0.224890217216499	0.514537676345664	HGDP1KG	e5	eas-sas	10000	BJ
0.000161806134167831	6310	0.000162084983202307	6.49002883010909e-11	0.339786425722764	0.513806041792445	HGDP1KG	e5	eas-sas	6310	BJ
0.000250986776366764	3981	0.000251426946477702	1.90906243814904e-10	0.505959021892462	0.51270711888276	HGDP1KG	e5	eas-sas	3981	BJ
0.000405222990428959	2512	0.000405920900283523	5.83156157288159e-10	0.383839197364247	0.511528067482069	HGDP1KG	e5	eas-sas	2512	BJ
0.000629773181159806	1585	0.000630871942829116	1.64755686379831e-09	0.51121924959066	0.51079792540684	HGDP1KG	e5	eas-sas	1585	BJ
0.00100627848272348	1000	0.00100802122856962	5.75778814347644e-09	0.467028279799305	0.509161742937171	HGDP1KG	e5	eas-sas	1000	BJ
1.3599074535198e-05	100000	1.36197315848764e-05	2.78419466875569e-13	4.52391203915559e-12	0.515614124466156	HGDP1KG	e10	eas-sas	100000	BJ
1.97307046548844e-05	63096	1.9761874633058e-05	6.30576263131393e-13	5.08235296623933e-07	0.515655474753305	HGDP1KG	e10	eas-sas	63096	BJ
2.90882935709914e-05	39811	2.91356319590619e-05	1.49904225880262e-12	0.00059304042043132	0.515420853079472	HGDP1KG	e10	eas-sas	39811	BJ
