H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp	method
2.7600284023336e-05	39811	2.51282334161285e-05	1.62271938168761e-14	3.43460747720152e-84	0	HGDP1KG	e5	eas-sas	39811	SW
4.25222962393599e-05	25119	3.98457948374153e-05	3.93467043169651e-14	8.58063930575823e-42	0	HGDP1KG	e5	eas-sas	25119	SW
6.61133400387149e-05	15849	6.31076722447835e-05	1.04366330110651e-13	6.77513971029095e-21	0	HGDP1KG	e5	eas-sas	15849	SW
0.000102420385230793	10000	0.000100093485166373	2.56775152188213e-13	2.19516363931216e-06	0	HGDP1KG	e5	eas-sas	10000	SW
0.000160321636047301	6310	0.00015856393213154	6.3621911443927e-13	0.0137745293667457	0.008	HGDP1KG	e5	eas-sas	6310	SW
0.000255150275795925	3981	0.000252020729197962	1.70675876093802e-12	0.00829895990221908	0.012	HGDP1KG	e5	eas-sas	3981	SW
0.000400606971346356	2512	0.000398882092744973	3.96323205654247e-12	0.193127033869786	0.194	HGDP1KG	e5	eas-sas	2512	SW
0.000635210132762575	1585	0.000633063138190879	1.00557711802856e-11	0.249185872865508	0.272	HGDP1KG	e5	eas-sas	1585	SW
0.0010038608083264	1000	0.00100234856112672	2.53345558047175e-11	0.38191856527962	0.37	HGDP1KG	e5	eas-sas	1000	SW
2.8628391621418e-05	39811	2.51374075749975e-05	1.65502382272944e-14	1.85250477811198e-162	0	HGDP1KG	e10	eas-sas	39811	SW
4.29938628168793e-05	25119	3.98243144770646e-05	3.84391978677958e-14	4.36005187320661e-59	0	HGDP1KG	e10	eas-sas	25119	SW
6.61369026717533e-05	15849	6.31770404722604e-05	1.0560197115059e-13	4.18563811186857e-20	0	HGDP1KG	e10	eas-sas	15849	SW
0.000104124906628104	10000	0.000100103695947341	2.72600286071289e-13	6.70679991835585e-15	0	HGDP1KG	e10	eas-sas	10000	SW
0.000163954976112431	6310	0.000158630316554263	6.0018140309335e-13	3.14180144462097e-12	0	HGDP1KG	e10	eas-sas	6310	SW
0.000254780966069826	3981	0.000251407293779918	1.66548456671593e-12	0.00447232358028522	0.005	HGDP1KG	e10	eas-sas	3981	SW
0.000406810430674726	2512	0.000398579558632316	4.12514556461094e-12	2.53333899939866e-05	0	HGDP1KG	e10	eas-sas	2512	SW
0.000637143549128384	1585	0.000631668654910852	9.60052226534414e-12	0.0386169238040328	0.047	HGDP1KG	e10	eas-sas	1585	SW
0.000998696644891188	1000	0.00100252811291292	2.52367859940937e-11	0.777175920485021	0.763	HGDP1KG	e10	eas-sas	1000	SW
6.40057086896577e-05	39811	2.51411433476199e-05	1.64444158115548e-14	0	0	HGDP1KG	e50	eas-sas	39811	SW
7.97474266568583e-05	25119	3.98676959794667e-05	3.97698594384841e-14	0	0	HGDP1KG	e50	eas-sas	25119	SW
9.99648253076361e-05	15849	6.31557913961399e-05	1.00551273491134e-13	0	0	HGDP1KG	e50	eas-sas	15849	SW
0.000139638983301277	10000	0.000100183929268737	1.79671805650479e-12	9.82166290549318e-191	0	HGDP1KG	e50	eas-sas	10000	SW
0.00019901477978303	6310	0.000158605411521886	6.18317794129983e-13	0	0	HGDP1KG	e50	eas-sas	6310	SW
0.000286101287312825	3981	0.000251580158492967	1.67031744607181e-12	1.76714813989063e-157	0	HGDP1KG	e50	eas-sas	3981	SW
0.000443419370297725	2512	0.000398502168078633	3.87818132250698e-12	1.88356015612169e-115	0	HGDP1KG	e50	eas-sas	2512	SW
0.000672172174976622	1585	0.0006321784508432	1.02277980226392e-11	3.48336695740698e-36	0	HGDP1KG	e50	eas-sas	1585	SW
0.00103393131922218	1000	0.00100482222872028	2.72783753534835e-11	1.24915155425349e-08	0	HGDP1KG	e50	eas-sas	1000	SW
0.00182371801471192	39811	2.53762524646856e-05	2.78504924105937e-13	0	0	HGDP1KG	e200	eas-sas	39811	SW
0.00177938725588214	25119	4.02177003939499e-05	6.61446774529201e-13	0	0	HGDP1KG	e200	eas-sas	25119	SW
0.00191477703800342	15849	6.37201796916873e-05	1.38036639421728e-12	0	0	HGDP1KG	e200	eas-sas	15849	SW
0.00181368313863836	10000	0.000102680778601219	2.93703557486382e-09	4.53725763738062e-219	0	HGDP1KG	e200	eas-sas	10000	SW
0.00192680719716048	6310	0.00016012017397757	1.04203826964298e-11	0	0	HGDP1KG	e200	eas-sas	6310	SW
0.00200619751774974	3981	0.000253618142481373	2.42769123228678e-11	0	0	HGDP1KG	e200	eas-sas	3981	SW
0.00215793522118109	2512	0.000402379900402672	5.38327914279859e-11	0	0	HGDP1KG	e200	eas-sas	2512	SW
0.00257365458101271	1585	0.000636727679081838	1.32408729926025e-10	0	0	HGDP1KG	e200	eas-sas	1585	SW
0.00310056196693803	1000	0.00101162855795887	4.70802484475745e-09	7.13769328353667e-204	0	HGDP1KG	e200	eas-sas	1000	SW
2.7105604306491e-05	39811	2.51261989367715e-05	6.20499080993648e-15	1.21839780073295e-139	0	HGDP1KG	WBS	eas-sas	39811	SW
4.18473357221685e-05	25119	3.983903140103e-05	1.66180180510709e-14	5.05527472059738e-55	0	HGDP1KG	WBS	eas-sas	25119	SW
6.50528553948252e-05	15849	6.31273805013103e-05	3.95324462782207e-14	1.76081570896769e-22	0	HGDP1KG	WBS	eas-sas	15849	SW
0.000101400306080903	10000	0.000100119308914074	9.78630724132515e-14	2.11214466173554e-05	0	HGDP1KG	WBS	eas-sas	10000	SW
0.000159971904461317	6310	0.000158544060955579	2.59895137635383e-13	0.00254883380209943	0.001	HGDP1KG	WBS	eas-sas	6310	SW
0.000253671564233507	3981	0.000251424321516152	5.75604622008895e-13	0.00152814443482378	0.001	HGDP1KG	WBS	eas-sas	3981	SW
0.000400352990974549	2512	0.000398486302304795	1.67035346341273e-12	0.074322492384083	0.077	HGDP1KG	WBS	eas-sas	2512	SW
0.000636116220566538	1585	0.000631376219429848	4.22169242709167e-12	0.0105292526425484	0.008	HGDP1KG	WBS	eas-sas	1585	SW
0.00100436350062335	1000	0.00100410844773116	9.30220019099999e-12	0.466677196652726	0.469	HGDP1KG	WBS	eas-sas	1000	SW
0.0019287494707154	39811	2.53917653837599e-05	2.62263318913661e-13	0	0	HGDP1KG	ALL	eas-sas	39811	SW
0.00190521196266679	25119	4.02328564247003e-05	6.77158573561616e-13	0	0	HGDP1KG	ALL	eas-sas	25119	SW
0.00191560908066846	15849	6.37387827186807e-05	1.70459131886086e-12	0	0	HGDP1KG	ALL	eas-sas	15849	SW
0.00199451962817347	10000	0.000102824644465316	3.58899871477805e-09	3.87686109112939e-219	0	HGDP1KG	ALL	eas-sas	10000	SW
0.00214731184356099	6310	0.000160222786256517	1.03348621733435e-11	0	0	HGDP1KG	ALL	eas-sas	6310	SW
0.00215286100600439	3981	0.000253327277148316	1.89922705762869e-11	0	0	HGDP1KG	ALL	eas-sas	3981	SW
0.00209232482877169	2512	0.000401575642424714	4.82825572836635e-11	0	0	HGDP1KG	ALL	eas-sas	2512	SW
0.00239194376792836	1585	0.000636805932090782	1.42881224767385e-10	0	0	HGDP1KG	ALL	eas-sas	1585	SW
