sigmaf	sigmaF2	L	dataset	gwas	contrasts
0.00346346699570222	1.19956036303186e-05	112621	HGDP1KG	WBS	eurasia-lat
0.00339445755727094	1.15223421081138e-05	112621	HGDP1KG	WBS	eurasia-long
0.00361080909937924	1.30379423521599e-05	136402	HGDP1KG	WBS	eur-lat
0.00310343857128676	9.63133096575039e-06	136402	HGDP1KG	WBS	eur-long
0.00352163903894849	1.2401941520646e-05	139663	HGDP1KG	WBS	sdi-eur
0.00346062807249745	1.19759466561574e-05	109180	HGDP1KG	WBS	eas-nfe
0.00333299778660229	1.11088742454958e-05	109180	HGDP1KG	WBS	eas-sas
0.00334635044505147	1.11980613010962e-05	109180	HGDP1KG	WBS	eas-afr
0.00335214691441133	1.12368889357974e-05	109180	HGDP1KG	WBS	eas-amr
0.00365732262134431	1.33760087565968e-05	109180	HGDP1KG	WBS	nfe-sas
0.00349397166124613	1.2207837969591e-05	109180	HGDP1KG	WBS	nfe-afr
0.00349129695928251	1.21891544578953e-05	109180	HGDP1KG	WBS	nfe-amr
0.00341275431954368	1.16468920455641e-05	109180	HGDP1KG	WBS	sas-afr
0.00337083096762586	1.13625014123055e-05	109180	HGDP1KG	WBS	sas-amr
0.00346286552461988	1.19914376416009e-05	109180	HGDP1KG	WBS	afr-amr
0.06346778726695	0.00402816002056282	113970	HGDP1KG	ALL	eurasia-lat
0.0583182572761408	0.00340101913172615	113970	HGDP1KG	ALL	eurasia-long
0.0169484050299804	0.000287248433060265	137565	HGDP1KG	ALL	eur-lat
0.0262447109969069	0.000688784855311168	137565	HGDP1KG	ALL	eur-long
0.00710496699048299	5.04805559358529e-05	140845	HGDP1KG	ALL	sdi-eur
0.0625410235133902	0.00391137962210242	110816	HGDP1KG	ALL	eas-nfe
0.0435991362065443	0.0019008846779568	110816	HGDP1KG	ALL	eas-sas
0.0706765108581991	0.00499516918708914	110816	HGDP1KG	ALL	eas-afr
0.0463167553140213	0.00214524182281892	110816	HGDP1KG	ALL	eas-amr
0.0628776750551424	0.00395360202034008	110816	HGDP1KG	ALL	nfe-sas
0.100157500359086	0.0100315248781803	110816	HGDP1KG	ALL	nfe-afr
0.0499590289549711	0.00249590457412364	110816	HGDP1KG	ALL	nfe-amr
0.0883481010543943	0.00780538695991746	110816	HGDP1KG	ALL	sas-afr
0.0212942461505697	0.000453444919121053	110816	HGDP1KG	ALL	sas-amr
0.0872563399893424	0.00761366886833572	110816	HGDP1KG	ALL	afr-amr
0.00384880869616094	1.48133283796441e-05	112644	HGDP1KG	e5	eurasia-lat
0.00359644065113724	1.29343853571525e-05	112644	HGDP1KG	e5	eurasia-long
0.00500762645646956	2.50763227275339e-05	136441	HGDP1KG	e5	eur-lat
0.00376261881726552	1.41573003640406e-05	136441	HGDP1KG	e5	eur-long
0.0043960970007921	1.93256688403733e-05	139710	HGDP1KG	e5	sdi-eur
0.00370522239003555	1.37286729596207e-05	109217	HGDP1KG	e5	eas-nfe
0.00339106249583108	1.14993048506321e-05	109217	HGDP1KG	e5	eas-sas
0.00371055007944888	1.37681818920981e-05	109217	HGDP1KG	e5	eas-afr
0.00348798447862308	1.21660357231155e-05	109217	HGDP1KG	e5	eas-amr
0.00408629491987136	1.66978061721665e-05	109217	HGDP1KG	e5	nfe-sas
0.00422315442398994	1.78350332888658e-05	109217	HGDP1KG	e5	nfe-afr
0.00366622792660073	1.34412272097871e-05	109217	HGDP1KG	e5	nfe-amr
0.00394214606262586	1.55405155790766e-05	109217	HGDP1KG	e5	sas-afr
0.003496330715214	1.22243284701488e-05	109217	HGDP1KG	e5	sas-amr
0.00409413424388035	1.67619352069137e-05	109217	HGDP1KG	e5	afr-amr
0.00471310602647055	2.2213368416753e-05	112702	HGDP1KG	e10	eurasia-lat
0.00405381171766251	1.64333894422579e-05	112702	HGDP1KG	e10	eurasia-long
0.00619683939558006	3.8400818494613e-05	136493	HGDP1KG	e10	eur-lat
0.004350443587403	1.89263594071759e-05	136493	HGDP1KG	e10	eur-long
0.00502666269869033	2.52673378864047e-05	139760	HGDP1KG	e10	sdi-eur
