sigmaf	sigmaF2	L	dataset	gwas	contrasts
0.00802815787275625	6.44513188298981e-05	145033	InUKBB	WBS-R	England-NorthernIreland
0.00979436956259834	9.59296751287528e-05	145033	InUKBB	WBS-R	England-RepublicOfIrelend
0.0105722871463875	0.000111773255505671	145033	InUKBB	WBS-R	England-Scotland
0.0077272572878591	5.97105051927715e-05	145033	InUKBB	WBS-R	England-Wales
0.00478640133464521	2.29096377362935e-05	145033	InUKBB	WBS-R	NorthernIreland-RepublicOfIrelend
0.00343983474242713	1.18324630552087e-05	145033	InUKBB	WBS-R	NorthernIreland-Scotland
0.00665331941745146	4.42666592706366e-05	145033	InUKBB	WBS-R	NorthernIreland-Wales
0.00643588047330842	4.14205574667126e-05	145033	InUKBB	WBS-R	RepublicOfIrelend-Scotland
0.00841854572219318	7.08719120766571e-05	145033	InUKBB	WBS-R	RepublicOfIrelend-Wales
0.00794105502497302	6.30603549096492e-05	145033	InUKBB	WBS-R	Scotland-Wales
0.0109286340270981	0.000119435041698247	145134	InUKBB	ALL-R	England-NorthernIreland
0.0131143500179796	0.000171986176394082	145134	InUKBB	ALL-R	England-RepublicOfIrelend
0.0129213926643491	0.000166962388386296	145134	InUKBB	ALL-R	England-Scotland
0.00861279652455917	7.41802639734586e-05	145134	InUKBB	ALL-R	England-Wales
0.00565730396878647	3.20050881952472e-05	145134	InUKBB	ALL-R	NorthernIreland-RepublicOfIrelend
0.00482651819603937	2.32952778966992e-05	145134	InUKBB	ALL-R	NorthernIreland-Scotland
0.00784776050057751	6.15873448744246e-05	145134	InUKBB	ALL-R	NorthernIreland-Wales
0.00882907386161039	7.79525452537718e-05	145134	InUKBB	ALL-R	RepublicOfIrelend-Scotland
0.0106421177491746	0.000113254670187297	145134	InUKBB	ALL-R	RepublicOfIrelend-Wales
0.00821183478782394	6.74342305825154e-05	145134	InUKBB	ALL-R	Scotland-Wales
0.00923823381167192	8.53449639591183e-05	145073	InUKBB	e5	England-NorthernIreland
0.0116591778471897	0.000135936428072399	145073	InUKBB	e5	England-RepublicOfIrelend
0.0118207303564827	0.000139729666160672	145073	InUKBB	e5	England-Scotland
0.00800752971830672	6.41205321895652e-05	145073	InUKBB	e5	England-Wales
0.00575644275560592	3.31366331985678e-05	145073	InUKBB	e5	NorthernIreland-RepublicOfIrelend
0.00395468787736758	1.56395562073981e-05	145073	InUKBB	e5	NorthernIreland-Scotland
0.00742602616404759	5.51458645891194e-05	145073	InUKBB	e5	NorthernIreland-Wales
0.00796631985162143	6.34622519783376e-05	145073	InUKBB	e5	RepublicOfIrelend-Scotland
0.01002002339537	0.000100400868843763	145073	InUKBB	e5	RepublicOfIrelend-Wales
0.00850990585981316	7.24184977428824e-05	145073	InUKBB	e5	Scotland-Wales
0.00938090253654932	8.80013324002374e-05	145126	InUKBB	e10	England-NorthernIreland
0.0117451925435268	0.000137949547884518	145126	InUKBB	e10	England-RepublicOfIrelend
0.0119169935276164	0.00014201473473725	145126	InUKBB	e10	England-Scotland
0.00802949988050511	6.44728683310316e-05	145126	InUKBB	e10	England-Wales
0.00574389903806125	3.2992376159441e-05	145126	InUKBB	e10	NorthernIreland-RepublicOfIrelend
0.00401858295246009	1.61490089458029e-05	145126	InUKBB	e10	NorthernIreland-Scotland
0.00747697193737672	5.5905109352319e-05	145126	InUKBB	e10	NorthernIreland-Wales
0.00799617637927859	6.39388366885329e-05	145126	InUKBB	e10	RepublicOfIrelend-Scotland
0.0100424463356407	0.000100850728404223	145126	InUKBB	e10	RepublicOfIrelend-Wales
0.00848633762975986	7.20179263662781e-05	145126	InUKBB	e10	Scotland-Wales
0.00964634088245518	9.30518924205262e-05	145247	InUKBB	e50	England-NorthernIreland
0.0119547369204195	0.000142915734836442	145247	InUKBB	e50	England-RepublicOfIrelend
0.012109243720423	0.000146633783480604	145247	InUKBB	e50	England-Scotland
0.00814217740615095	6.6295052913235e-05	145247	InUKBB	e50	England-Wales
0.00572842078501929	3.28148046902411e-05	145247	InUKBB	e50	NorthernIreland-RepublicOfIrelend
0.00415618448513987	1.72738694745173e-05	145247	InUKBB	e50	NorthernIreland-Scotland
0.00756529274682649	5.72336543451855e-05	145247	InUKBB	e50	NorthernIreland-Wales
0.00809704451311393	6.55621298473483e-05	145247	InUKBB	e50	RepublicOfIrelend-Scotland
0.0101440713227436	0.000102902183000909	145247	InUKBB	e50	RepublicOfIrelend-Wales
0.00847478771814598	7.18220268676379e-05	145247	InUKBB	e50	Scotland-Wales
0.0106699047512746	0.000113846867401272	145217	InUKBB	e200	England-NorthernIreland
0.0129271408281674	0.000167110969991271	145217	InUKBB	e200	England-RepublicOfIrelend
0.0128491570110699	0.000165100835895126	145217	InUKBB	e200	England-Scotland
0.00858442721541045	7.36923906166796e-05	145217	InUKBB	e200	England-Wales
0.00584198040444863	3.41287350459618e-05	145217	InUKBB	e200	NorthernIreland-RepublicOfIrelend
0.00474100237452133	2.24771035152169e-05	145217	InUKBB	e200	NorthernIreland-Scotland
0.00789120201337789	6.22710692159393e-05	145217	InUKBB	e200	NorthernIreland-Wales
0.00875908708986004	7.67216066477528e-05	145217	InUKBB	e200	RepublicOfIrelend-Scotland
0.0106594556049666	0.000113623993794254	145217	InUKBB	e200	RepublicOfIrelend-Wales
0.00845910755736202	7.15565006670193e-05	145217	InUKBB	e200	Scotland-Wales
