varR	sdR	dataset	gwas	contrasts
8.07178367234158e-05	0.00898431058698528	InUKBB	WBS-R	England-NorthernIreland
0.000113972949139116	0.0106758114042501	InUKBB	WBS-R	England-RepublicOfIrelend
3.32189657476845e-05	0.00576358965816309	InUKBB	WBS-R	England-Scotland
2.95518651976298e-05	0.00543616272729486	InUKBB	WBS-R	England-Wales
9.29427937999367e-05	0.00964068430143508	InUKBB	WBS-R	NorthernIreland-RepublicOfIrelend
5.03109030325981e-05	0.00709301790725204	InUKBB	WBS-R	NorthernIreland-Scotland
9.54327772554187e-05	0.00976897012255738	InUKBB	WBS-R	NorthernIreland-Wales
6.68374980389309e-05	0.00817542035854615	InUKBB	WBS-R	RepublicOfIrelend-Scotland
0.00011415165609977	0.0106841778392055	InUKBB	WBS-R	RepublicOfIrelend-Wales
5.08087886028532e-05	0.00712802838117618	InUKBB	WBS-R	Scotland-Wales
8.06648770191584e-05	0.00898136275957933	InUKBB	ALL-R	England-NorthernIreland
0.000113899086004355	0.010672351474926	InUKBB	ALL-R	England-RepublicOfIrelend
3.3196443771534e-05	0.00576163551186067	InUKBB	ALL-R	England-Scotland
2.95331989088351e-05	0.00543444559351137	InUKBB	ALL-R	England-Wales
9.28843785129842e-05	0.00963765420177463	InUKBB	ALL-R	NorthernIreland-RepublicOfIrelend
5.02783457735255e-05	0.00709072251421007	InUKBB	ALL-R	NorthernIreland-Scotland
9.53724981463028e-05	0.0097658844016455	InUKBB	ALL-R	NorthernIreland-Wales
6.67938213766064e-05	0.00817274870386986	InUKBB	ALL-R	RepublicOfIrelend-Scotland
0.000114077499813981	0.0106807068967359	InUKBB	ALL-R	RepublicOfIrelend-Wales
5.07757809841997e-05	0.00712571266500409	InUKBB	ALL-R	Scotland-Wales
8.06390780684179e-05	0.00897992639548999	InUKBB	e5	England-NorthernIreland
0.000113962332941693	0.010675314184683	InUKBB	e5	England-RepublicOfIrelend
3.32111725817294e-05	0.00576291354973588	InUKBB	e5	England-Scotland
2.95354357174895e-05	0.00543465138877274	InUKBB	e5	England-Wales
9.28938824661883e-05	0.00963814725277573	InUKBB	e5	NorthernIreland-RepublicOfIrelend
5.02466901339119e-05	0.00708848997558097	InUKBB	e5	NorthernIreland-Scotland
9.53531563897636e-05	0.00976489407980259	InUKBB	e5	NorthernIreland-Wales
6.68137268181247e-05	0.00817396640671618	InUKBB	e5	RepublicOfIrelend-Scotland
0.000114152477651676	0.0106842162862643	InUKBB	e5	RepublicOfIrelend-Wales
5.07968868833697e-05	0.0071271934787383	InUKBB	e5	Scotland-Wales
8.06117041100918e-05	0.00897840209113469	InUKBB	e10	England-NorthernIreland
0.00011392333178426	0.0106734873300276	InUKBB	e10	England-RepublicOfIrelend
3.31998247640758e-05	0.00576192891001579	InUKBB	e10	England-Scotland
2.95255294706061e-05	0.00543373991562037	InUKBB	e10	England-Wales
9.28638026617024e-05	0.00963658667068908	InUKBB	e10	NorthernIreland-RepublicOfIrelend
5.02301273732542e-05	0.00708732159375135	InUKBB	e10	NorthernIreland-Scotland
9.53221161677378e-05	0.00976330457210763	InUKBB	e10	NorthernIreland-Wales
6.67916477799112e-05	0.00817261572447348	InUKBB	e10	RepublicOfIrelend-Scotland
0.000114113837472168	0.0106824078499263	InUKBB	e10	RepublicOfIrelend-Wales
5.07804060075198e-05	0.00712603718819371	InUKBB	e10	Scotland-Wales
8.05498525123611e-05	0.00897495696437376	InUKBB	e50	England-NorthernIreland
0.000113836275108641	0.0106694083766927	InUKBB	e50	England-RepublicOfIrelend
3.31745117875025e-05	0.00575973191976002	InUKBB	e50	England-Scotland
2.9503395877063e-05	0.00543170285242695	InUKBB	e50	England-Wales
9.27932335145753e-05	0.00963292445286349	InUKBB	e50	NorthernIreland-RepublicOfIrelend
5.01919229710398e-05	0.00708462581729197	InUKBB	e50	NorthernIreland-Scotland
9.52503278876464e-05	0.00975962744615011	InUKBB	e50	NorthernIreland-Wales
6.67406181914332e-05	0.00816949314164797	InUKBB	e50	RepublicOfIrelend-Scotland
0.000114028182518401	0.0106783979378183	InUKBB	e50	RepublicOfIrelend-Wales
5.07421883876008e-05	0.00712335513558048	InUKBB	e50	Scotland-Wales
8.05655060584657e-05	0.0089758289900413	InUKBB	e200	England-NorthernIreland
0.000113857706867907	0.0106704126849859	InUKBB	e200	England-RepublicOfIrelend
3.31806604889301e-05	0.00576026566131547	InUKBB	e200	England-Scotland
2.95087828190765e-05	0.00543219870946162	InUKBB	e200	England-Wales
9.28106999339103e-05	0.00963383101024251	InUKBB	e200	NorthernIreland-RepublicOfIrelend
5.02015015816398e-05	0.00708530179891018	InUKBB	e200	NorthernIreland-Scotland
9.526857267767e-05	0.00976056210869384	InUKBB	e200	NorthernIreland-Wales
6.67533046177684e-05	0.00817026955600416	InUKBB	e200	RepublicOfIrelend-Scotland
0.000114048744421634	0.0106793606747611	InUKBB	e200	RepublicOfIrelend-Wales
5.07515381443025e-05	0.00712401138013567	InUKBB	e200	Scotland-Wales
