H	L	meanH	varH	pvalNorm	dataset	gwas	contrasts
1.26008682645285e-05	112644	1.26208653849427e-05	2.5142559036632e-13	5.61587688661991e-14	HGDP1KG	e5	eurasia-lat
1.18968275411597e-05	112644	1.19162823168156e-05	2.3625493039209e-13	2.61937939559664e-10	HGDP1KG	e5	eurasia-long
1.05000920551328e-05	136441	1.05181903547185e-05	2.03321627674197e-13	1.0162927686421e-12	HGDP1KG	e5	eur-lat
9.40765042841764e-06	136441	9.42329993568368e-06	1.63685864892844e-13	1.39318984374261e-07	HGDP1KG	e5	eur-long
1.06222866447078e-05	139710	1.06402217692795e-05	1.9996489311831e-13	4.6761062650982e-15	HGDP1KG	e5	sdi-eur
1.23523008617498e-05	109217	1.23725445172276e-05	2.57114975164183e-13	1.45624191677694e-10	HGDP1KG	e5	eas-nfe
1.12046923743911e-05	109217	1.12238371835836e-05	2.27314397336229e-13	8.66392191862511e-06	HGDP1KG	e5	eas-sas
1.11416184892135e-05	109217	1.11602772094323e-05	2.15927577572249e-13	9.64705096450026e-06	HGDP1KG	e5	eas-afr
1.13531044099507e-05	109217	1.13722203290335e-05	2.29328151423765e-13	2.23959663508597e-06	HGDP1KG	e5	eas-amr
1.41478854300022e-05	109217	1.41699977112098e-05	3.11108586729859e-13	1.78463077835994e-19	HGDP1KG	e5	nfe-sas
1.24376071642355e-05	109217	1.24574377077451e-05	2.44213092233127e-13	1.56468542474412e-11	HGDP1KG	e5	nfe-afr
1.23646802620455e-05	109217	1.23851166634153e-05	2.62375719272289e-13	1.87586076114859e-10	HGDP1KG	e5	nfe-amr
1.15437162932681e-05	109217	1.15625791558206e-05	2.20353489407947e-13	1.82495658246785e-07	HGDP1KG	e5	sas-afr
1.1677209454106e-05	109217	1.16966283955199e-05	2.34502038819109e-13	9.63713400116042e-08	HGDP1KG	e5	sas-amr
1.16777637964734e-05	109217	1.16969730236334e-05	2.28716697773598e-13	6.71801094260218e-08	HGDP1KG	e5	afr-amr
1.33920912041879e-05	112702	1.3412139729814e-05	2.54803205532496e-13	1.73485896886615e-19	HGDP1KG	e10	eurasia-lat
1.28114469985745e-05	112702	1.28309468588363e-05	2.40379765764646e-13	4.75371338598671e-16	HGDP1KG	e10	eurasia-long
9.540385546312e-06	136493	9.55847984136381e-06	1.99736029927348e-13	3.63646123152453e-07	HGDP1KG	e10	eur-lat
9.55294478103067e-06	136493	9.56860026559893e-06	1.64566135409699e-13	2.0252354690794e-08	HGDP1KG	e10	eur-long
1.01305271320657e-05	139760	1.01484609531553e-05	1.9915395000334e-13	1.30255748380843e-11	HGDP1KG	e10	sdi-eur
1.33415225592579e-05	109284	1.33618135499763e-05	2.62215496186686e-13	1.36680991373896e-16	HGDP1KG	e10	eas-nfe
1.1833742127511e-05	109284	1.18529043097905e-05	2.30648022265292e-13	1.1541772811767e-08	HGDP1KG	e10	eas-sas
1.15464923379516e-05	109284	1.15651945939855e-05	2.18266174715249e-13	1.45963806950471e-07	HGDP1KG	e10	eas-afr
1.19051495688034e-05	109284	1.19242895968469e-05	2.33978317860669e-13	6.173576266274e-09	HGDP1KG	e10	eas-amr
1.51512447437581e-05	109284	1.51734044405636e-05	3.14159438761434e-13	4.76340298350681e-27	HGDP1KG	e10	nfe-sas
1.26461774413915e-05	109284	1.26660817944689e-05	2.46907663436569e-13	9.95882521515455e-13	HGDP1KG	e10	nfe-afr
1.29765851780082e-05	109284	1.29970501461617e-05	2.65039663814842e-13	5.35056056471882e-14	HGDP1KG	e10	nfe-amr
1.18885305871643e-05	109284	1.19074454518016e-05	2.22671611656825e-13	3.26786101895428e-09	HGDP1KG	e10	sas-afr
1.20356827391534e-05	109284	1.20551008882071e-05	2.36179255295529e-13	1.45264961102449e-09	HGDP1KG	e10	sas-amr
1.18133562132196e-05	109284	1.18326165001709e-05	2.30656776690506e-13	1.47321790900678e-08	HGDP1KG	e10	afr-amr
1.03689651677838e-05	112911	1.03892755727879e-05	2.50064771465901e-13	0.00124533549129545	HGDP1KG	e50	eurasia-lat
1.26067726842001e-05	112911	1.26265375594985e-05	2.49179022034977e-13	2.89323855678852e-14	HGDP1KG	e50	eurasia-long
9.14514452324939e-06	136691	9.163185809628e-06	1.989822508989e-13	2.05637749424308e-05	HGDP1KG	e50	eur-lat
8.82404306357436e-06	136691	8.8397324405797e-06	1.61267585039052e-13	8.63829797295818e-05	HGDP1KG	e50	eur-long
1.00798465059463e-05	139957	1.00977330130346e-05	1.97474469852387e-13	1.99792842942602e-11	HGDP1KG	e50	sdi-eur
1.36019488039618e-05	109506	1.36225384499273e-05	2.76815954335552e-13	9.81132503027225e-18	HGDP1KG	e50	eas-nfe
1.56236077356133e-05	109506	1.56429346933625e-05	2.59926661069389e-13	1.93718164191502e-37	HGDP1KG	e50	eas-sas
1.16682895276577e-05	109506	1.16872294698869e-05	2.25266620746074e-13	4.54658717397471e-08	HGDP1KG	e50	eas-afr
1.46003821527206e-05	109506	1.4619653155857e-05	2.60227143002831e-13	4.10657138742479e-27	HGDP1KG	e50	eas-amr
1.06178999936192e-05	109506	1.06403177743477e-05	3.01049637657011e-13	0.00338161948947343	HGDP1KG	e50	nfe-sas
9.84714247205737e-06	109506	9.8674636771905e-06	2.46787637432068e-13	0.0749725712008586	HGDP1KG	e50	nfe-afr
1.15918166206815e-05	109506	1.16125309749603e-05	2.64944189295495e-13	8.80716959910386e-07	HGDP1KG	e50	nfe-amr
9.60623415242382e-06	109506	9.62546747161064e-06	2.2236742191158e-13	0.157245232815181	HGDP1KG	e50	sas-afr
1.08118931054174e-05	109506	1.08313791929075e-05	2.33104722315817e-13	0.000251099888950956	HGDP1KG	e50	sas-amr
9.93144708906306e-06	109506	9.95103451786693e-06	2.30543953350984e-13	0.047940227777599	HGDP1KG	e50	afr-amr
8.77767656811407e-06	113925	8.79821904872605e-06	2.52057847767322e-13	0.500022298749585	HGDP1KG	e200	eurasia-lat
9.23760090721878e-06	113925	9.25755310804674e-06	2.39405412069969e-13	0.173628176914763	HGDP1KG	e200	eurasia-long
8.81067289092386e-06	137497	8.82839660473805e-06	1.90300453694702e-13	0.000211630257990904	HGDP1KG	e200	eur-lat
8.39584817540563e-06	137497	8.41134938327151e-06	1.55714343233399e-13	0.0022151617047005	HGDP1KG	e200	eur-long
9.67702097945228e-06	140761	9.69468792068044e-06	1.91733428015981e-13	2.10629954466165e-09	HGDP1KG	e200	sdi-eur
9.49939420941561e-06	110766	9.52017375625758e-06	2.59549495772087e-13	0.177430575286847	HGDP1KG	e200	eas-nfe
9.67497619356228e-06	110766	9.69434395992406e-06	2.26948862219716e-13	0.0872333608751111	HGDP1KG	e200	eas-sas
8.70517523431254e-06	110766	8.72462883412167e-06	2.27524563866005e-13	0.750757122844694	HGDP1KG	e200	eas-afr
9.72883655356868e-06	110766	9.74815661987448e-06	2.27895583628324e-13	0.0710533655713751	HGDP1KG	e200	eas-amr
9.03357133567696e-06	110766	9.05608414888622e-06	3.01070538568047e-13	0.495979199130874	HGDP1KG	e200	nfe-sas
