H	L	meanH	varH	pvalNorm	dataset	gwas	contrasts
9.05918813187877e-06	145033	9.07603607173055e-06	1.70759122585175e-13	8.14760972777035e-08	InUKBB	WBS-R	England-NorthernIreland
9.34396909590441e-06	145033	9.36186272146559e-06	1.9496346247895e-13	1.45820516949707e-08	InUKBB	WBS-R	England-RepublicOfIrelend
9.31254047874146e-06	145033	9.3302917775516e-06	1.90727848423471e-13	1.55024398624717e-08	InUKBB	WBS-R	England-Scotland
8.86337188822684e-06	145033	8.87997657491118e-06	1.65822238627766e-13	6.6972038335168e-07	InUKBB	WBS-R	England-Wales
9.87363655233302e-06	145033	9.88963464867039e-06	1.55504670966757e-13	2.11854136453451e-14	InUKBB	WBS-R	NorthernIreland-RepublicOfIrelend
9.54607103942594e-06	145033	9.56168567503095e-06	1.46869495395591e-13	2.29602602198375e-12	InUKBB	WBS-R	NorthernIreland-Scotland
9.00537062770992e-06	145033	9.02155632426324e-06	1.57486020932476e-13	5.24817723659945e-08	InUKBB	WBS-R	NorthernIreland-Wales
1.07376732689452e-05	145033	1.0754319206496e-05	1.70683676772355e-13	6.94283075319674e-21	InUKBB	WBS-R	RepublicOfIrelend-Scotland
9.30207013171454e-06	145033	9.31911800301992e-06	1.76319215523873e-13	4.94881767972774e-09	InUKBB	WBS-R	RepublicOfIrelend-Wales
8.99081503523542e-06	145033	9.00719108968998e-06	1.61701488851725e-13	9.3437049703088e-08	InUKBB	WBS-R	Scotland-Wales
6.955957343061e-06	145134	6.97257841049108e-06	1.62617750506153e-13	0.435218316341891	InUKBB	ALL-R	England-NorthernIreland
5.70499129823836e-06	145134	5.72260232492962e-06	1.81797826078666e-13	0.997279370898523	InUKBB	ALL-R	England-RepublicOfIrelend
5.91041683289277e-06	145134	5.92788864333289e-06	1.79683027166067e-13	0.989593785222261	InUKBB	ALL-R	England-Scotland
7.37330057228952e-06	145134	7.38967230751227e-06	1.58330315524962e-13	0.112346647895425	InUKBB	ALL-R	England-Wales
