#FID	IID	POP
1000041	1000041	England
1000077	1000077	England
1000095	1000095	England
1000124	1000124	England
1000152	1000152	England
1000175	1000175	England
1000264	1000264	England
1000296	1000296	England
1000322	1000322	England
1000336	1000336	England
1000358	1000358	England
1000410	1000410	England
1000478	1000478	England
1000511	1000511	England
1000572	1000572	England
1000616	1000616	England
1000637	1000637	England
1000698	1000698	England
1000706	1000706	England
1000712	1000712	Wales
1000739	1000739	England
1000740	1000740	England
1000794	1000794	England
1000901	1000901	England
1000925	1000925	England
1000932	1000932	England
1000960	1000960	England
1001006	1001006	Scotland
1001027	1001027	England
1001122	1001122	England
1001136	1001136	England
1001145	1001145	England
1001158	1001158	Scotland
1001174	1001174	England
1001214	1001214	England
1001241	1001241	England
1001286	1001286	Scotland
1001295	1001295	England
1001311	1001311	England
1001389	1001389	England
1001493	1001493	Wales
1001507	1001507	England
1001510	1001510	England
1001561	1001561	England
1001583	1001583	England
1001615	1001615	Scotland
1001629	1001629	England
1001650	1001650	England
1001673	1001673	England
1001696	1001696	England
1001718	1001718	Scotland
1001721	1001721	Wales
1001733	1001733	England
1001766	1001766	England
1001792	1001792	England
1001804	1001804	England
1001816	1001816	England
1001820	1001820	England
1001843	1001843	NorthernIreland
1001879	1001879	England
1001900	1001900	Wales
1001924	1001924	Scotland
1001997	1001997	Scotland
1002017	1002017	England
1002058	1002058	England
1002063	1002063	England
1002106	1002106	England
1002139	1002139	England
1002140	1002140	England
1002153	1002153	England
1002171	1002171	Wales
1002185	1002185	England
1002194	1002194	England
1002203	1002203	England
1002211	1002211	England
1002228	1002228	England
1002272	1002272	England
1002290	1002290	England
1002362	1002362	England
1002395	1002395	England
1002420	1002420	Wales
1002443	1002443	England
1002451	1002451	Scotland
1002502	1002502	England
1002547	1002547	England
1002550	1002550	England
1002573	1002573	England
1002738	1002738	England
1002752	1002752	England
1002781	1002781	England
1002825	1002825	England
1002854	1002854	England
1002905	1002905	Wales
1002921	1002921	England
1002933	1002933	England
1002949	1002949	England
1002966	1002966	England
1002984	1002984	England
1002992	1002992	Wales
1003004	1003004	England
1003016	1003016	England
1003037	1003037	Scotland
1003065	1003065	England
1003110	1003110	England
1003142	1003142	England
1003161	1003161	England
1003218	1003218	England
1003233	1003233	England
1003292	1003292	England
1003332	1003332	England
1003417	1003417	England
1003422	1003422	England
1003445	1003445	England
1003458	1003458	England
1003463	1003463	England
1003491	1003491	England
1003513	1003513	Wales
1003524	1003524	England
1003546	1003546	England
1003569	1003569	England
1003575	1003575	England
1003581	1003581	England
1003606	1003606	England
1003627	1003627	England
1003653	1003653	England
1003671	1003671	England
1003694	1003694	Scotland
1003702	1003702	England
1003747	1003747	England
1003764	1003764	England
1003788	1003788	England
1003841	1003841	England
1003886	1003886	RepublicOfIrelend
1003967	1003967	England
1003990	1003990	England
1004038	1004038	Wales
1004046	1004046	England
1004069	1004069	England
1004097	1004097	England
1004130	1004130	England
1004141	1004141	England
1004159	1004159	England
1004222	1004222	England
1004245	1004245	England
1004274	1004274	England
1004418	1004418	England
1004492	1004492	England
1004543	1004543	England
1004565	1004565	England
1004579	1004579	England
1004582	1004582	Scotland
1004598	1004598	Wales
1004656	1004656	England
1004701	1004701	England
1004748	1004748	England
1004754	1004754	RepublicOfIrelend
1004776	1004776	England
1004793	1004793	England
1004826	1004826	England
1004842	1004842	England
1004883	1004883	RepublicOfIrelend
1004899	1004899	England
1004953	1004953	England
1005001	1005001	England
1005025	1005025	England
1005102	1005102	England
1005115	1005115	England
1005129	1005129	England
1005131	1005131	England
1005147	1005147	Scotland
1005150	1005150	England
1005238	1005238	England
1005281	1005281	England
1005337	1005337	RepublicOfIrelend
1005343	1005343	England
1005365	1005365	England
1005382	1005382	England
1005427	1005427	England
1005439	1005439	England
1005440	1005440	Scotland
1005453	1005453	England
1005521	1005521	England
1005570	1005570	England
1005592	1005592	England
1005622	1005622	England
1005658	1005658	England
1005674	1005674	England
1005691	1005691	England
1005761	1005761	England
1005803	1005803	Wales
1005844	1005844	England
1005856	1005856	England
1005867	1005867	Wales
1005872	1005872	Scotland
1005941	1005941	England
1005977	1005977	England
1005986	1005986	England
1005995	1005995	England
1006026	1006026	England
1006120	1006120	England
1006151	1006151	England
1006182	1006182	Scotland
1006198	1006198	England
1006225	1006225	England
1006232	1006232	England
1006260	1006260	England
1006276	1006276	England
1006293	1006293	England
1006318	1006318	England
1006392	1006392	England
1006408	1006408	England
1006414	1006414	England
1006462	1006462	Wales
1006477	1006477	England
1006506	1006506	England
1006512	1006512	Scotland
1006539	1006539	England
1006571	1006571	England
1006613	1006613	England
1006638	1006638	England
1006703	1006703	England
1006728	1006728	England
1006735	1006735	England
1006767	1006767	England
1006790	1006790	England
1006809	1006809	England
1006822	1006822	England
1006863	1006863	England
1006880	1006880	England
1006891	1006891	England
1006929	1006929	England
1006947	1006947	England
1006964	1006964	England
1007066	1007066	England
1007111	1007111	Scotland
1007135	1007135	England
1007156	1007156	England
1007253	1007253	England
1007268	1007268	Scotland
1007294	1007294	England
1007310	1007310	England
1007334	1007334	England
1007378	1007378	England
1007399	1007399	England
1007424	1007424	Scotland
1007438	1007438	England
1007452	1007452	England
1007554	1007554	England
1007614	1007614	England
1007623	1007623	England
1007662	1007662	England
1007695	1007695	England
1007743	1007743	England
1007765	1007765	England
1007782	1007782	England
1007798	1007798	England
1007815	1007815	England
1007831	1007831	England
1007896	1007896	England
1008056	1008056	England
1008072	1008072	Scotland
1008090	1008090	England
1008105	1008105	England
1008118	1008118	England
1008133	1008133	England
1008192	1008192	England
1008207	1008207	England
1008234	1008234	England
1008255	1008255	Wales
1008299	1008299	England
1008327	1008327	England
1008353	1008353	England
1008429	1008429	England
1008523	1008523	Scotland
1008530	1008530	England
1008577	1008577	England
1008586	1008586	England
1008619	1008619	England
1008660	1008660	England
1008687	1008687	England
1008709	1008709	England
1008736	1008736	England
1008758	1008758	England
1008774	1008774	England
1008780	1008780	Scotland
1008791	1008791	England
1008813	1008813	England
1008824	1008824	England
1008846	1008846	England
1008852	1008852	England
1008869	1008869	Wales
1008897	1008897	England
1008904	1008904	England
1008937	1008937	England
1008998	1008998	England
1009002	1009002	England
1009064	1009064	England
1009073	1009073	England
1009088	1009088	England
1009148	1009148	England
1009160	1009160	England
1009204	1009204	England
1009237	1009237	England
1009251	1009251	Scotland
1009265	1009265	Scotland
1009282	1009282	England
1009313	1009313	England
1009324	1009324	England
1009338	1009338	England
1009346	1009346	England
1009375	1009375	England
1009397	1009397	Scotland
1009456	1009456	England
1009517	1009517	England
1009558	1009558	England
1009563	1009563	England
1009574	1009574	RepublicOfIrelend
1009605	1009605	England
1009649	1009649	England
1009714	1009714	England
1009741	1009741	England
1009759	1009759	England
1009795	1009795	England
1009827	1009827	England
1009839	1009839	England
1009840	1009840	England
1009885	1009885	Scotland
1009910	1009910	England
1009926	1009926	England
1009978	1009978	England
1010049	1010049	England
1010070	1010070	England
1010084	1010084	England
1010092	1010092	Wales
1010103	1010103	England
1010135	1010135	England
1010156	1010156	England
1010189	1010189	Scotland
1010206	1010206	England
1010326	1010326	England
1010361	1010361	England
1010438	1010438	England
1010446	1010446	England
1010481	1010481	England
1010501	1010501	England
1010525	1010525	England
1010548	1010548	England
1010554	1010554	England
1010576	1010576	England
1010593	1010593	England
1010630	1010630	England
1010686	1010686	England
1010704	1010704	England
1010720	1010720	England
1010798	1010798	England
1010815	1010815	England
1010829	1010829	England
1010831	1010831	England
1010864	1010864	England
1010873	1010873	England
1010888	1010888	England
1010922	1010922	England
1010974	1010974	England
1011004	1011004	England
1011020	1011020	England
1011082	1011082	England
1011098	1011098	England
1011126	1011126	Scotland
1011161	1011161	England
1011199	1011199	England
1011292	1011292	England
1011354	1011354	England
1011376	1011376	England
1011387	1011387	England
1011393	1011393	England
1011409	1011409	England
1011422	1011422	England
1011445	1011445	England
1011458	1011458	England
1011538	1011538	NorthernIreland
1011546	1011546	Scotland
1011569	1011569	Wales
1011612	1011612	England
1011639	1011639	England
1011685	1011685	England
1011729	1011729	Wales
1011731	1011731	England
1011764	1011764	England
1011823	1011823	England
1011830	1011830	England
1011886	1011886	England
1011903	1011903	England
1011928	1011928	Wales
1011989	1011989	England
1011990	1011990	Scotland
1012026	1012026	England
1012061	1012061	England
1012078	1012078	England
1012083	1012083	Wales
1012120	1012120	England
1012137	1012137	England
1012179	1012179	England
1012232	1012232	England
1012254	1012254	England
1012260	1012260	England
1012276	1012276	England
1012287	1012287	England
1012318	1012318	England
1012384	1012384	England
1012423	1012423	England
1012430	1012430	England
1012459	1012459	England
1012486	1012486	England
1012495	1012495	England
1012540	1012540	England
1012553	1012553	Scotland
1012594	1012594	England
1012652	1012652	England
1012669	1012669	England
1012735	1012735	England
1012790	1012790	Wales
1012817	1012817	England
1012836	1012836	England
1012858	1012858	Wales
1012931	1012931	England
1012947	1012947	Scotland
1012996	1012996	England
1013023	1013023	England
1013041	1013041	England
1013059	1013059	England
1013062	1013062	England
1013077	1013077	Scotland
1013095	1013095	England
1013100	1013100	England
1013138	1013138	England
1013152	1013152	England
1013197	1013197	England
1013229	1013229	England
1013231	1013231	Wales
1013247	1013247	England
1013264	1013264	England
1013288	1013288	England
1013309	1013309	England
1013336	1013336	England
1013358	1013358	England
1013363	1013363	England
1013380	1013380	England
1013426	1013426	England
1013461	1013461	England
1013511	1013511	England
1013643	1013643	England
1013651	1013651	Scotland
1013665	1013665	England
1013682	1013682	Wales
1013712	1013712	Wales
1013753	1013753	Wales
1013821	1013821	Wales
1013833	1013833	England
1013849	1013849	England
1013932	1013932	England
1013954	1013954	England
1013960	1013960	England
1013976	1013976	England
1014028	1014028	England
1014035	1014035	England
1014044	1014044	England
1014067	1014067	England
1014072	1014072	England
1014089	1014089	England
1014149	1014149	England
1014242	1014242	England
1014261	1014261	England
1014278	1014278	England
1014299	1014299	England
1014306	1014306	England
1014327	1014327	England
1014340	1014340	RepublicOfIrelend
1014353	1014353	England
1014368	1014368	England
1014402	1014402	England
1014464	1014464	England
1014496	1014496	England
1014508	1014508	England
